Strain	Length	Experiment	NormLength	Useq	Genome_Classification	Cluster	Phylum	Class	Color
CL10	4.421082645	mono1	4.24324976494262	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	5.022049587	mono1	4.82004351437948	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	5.55753719	mono1	5.3339917546661	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	6.735413223	mono2	6.85519469837362	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	6.669834711	mono2	6.78844994895654	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	6.838033058	mono2	6.95963950755589	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	3.923702479	mono1	3.76587613455969	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	6.796280992	mono2	6.91714492971589	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	2.95946281	mono1	2.84042187881085	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	3.80107438	mono1	3.64818060745943	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	4.538884298	mono1	4.35631298418993	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	6.626471074	mono2	6.74431514020427	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	6.103256198	mono2	6.21179549733849	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	5.050677686	mono1	4.84752008157053	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	7.12014876	mono2	7.24677230856568	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	6.879619835	mono2	7.00196585692364	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	4.958735537	mono1	4.75927619801097	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	5.761090909	mono2	5.86354519739988	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	6.923752066	mono2	7.04688292822455	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL11	5.421371901	mono1	5.20330355520526	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	5.421371901	mono1	5.20330355520526	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	5.877917355	mono1	5.64148500213253	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	5.877917355	mono1	5.64148500213253	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.727603306	mono2	6.8472458911007	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.727603306	mono2	6.8472458911007	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	4.389553719	mono1	4.21298905312587	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	4.389553719	mono1	4.21298905312587	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.359495868	mono2	6.47259209127258	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.359495868	mono2	6.47259209127258	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.124768595	mono1	5.87840693963361	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.124768595	mono1	5.87840693963361	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	4.909652893	mono1	4.71216784597613	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	4.909652893	mono1	4.71216784597613	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.590429752	mono2	6.70763286529157	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.590429752	mono2	6.70763286529157	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.395206612	mono2	6.50893790924078	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.395206612	mono2	6.50893790924078	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.387702479	mono2	6.50130032397997	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.387702479	mono2	6.50130032397997	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	5.721900826	mono1	5.49174405558969	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	5.721900826	mono1	5.49174405558969	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.702933884	mono2	6.82213775217778	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.702933884	mono2	6.82213775217778	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	5.506867769	mono1	5.28536045188075	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	5.506867769	mono1	5.28536045188075	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	5.721900826	mono2	5.82365816444204	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	5.721900826	mono2	5.82365816444204	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.731115702	mono2	6.85082075097055	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.731115702	mono2	6.85082075097055	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.296396694	mono2	6.40837077199265	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.296396694	mono2	6.40837077199265	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL115	6.563834711	mono2	6.68056486247866	Sequence_43	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	B	Firmicutes	Bacilli	Firmicutes
CL115	6.426272727	mono2	6.54055649889462	Sequence_43	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	B	Firmicutes	Bacilli	Firmicutes
CL115	6.32231405	mono1	6.06800635968567	Sequence_43	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	B	Firmicutes	Bacilli	Firmicutes
CL115	5.212512397	mono1	5.00284518054531	Sequence_43	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	B	Firmicutes	Bacilli	Firmicutes
CL115	5.529429752	mono1	5.30701490549511	Sequence_43	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	B	Firmicutes	Bacilli	Firmicutes
CL115	5.952942149	mono1	5.7134920115164	Sequence_43	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	B	Firmicutes	Bacilli	Firmicutes
CL115	5.876504132	mono1	5.6401286243753	Sequence_43	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	B	Firmicutes	Bacilli	Firmicutes
CL115	6.032132231	mono1	5.78949676506072	Sequence_43	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	B	Firmicutes	Bacilli	Firmicutes
CL115	3.786900826	mono2	3.85424644430341	Sequence_43	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	B	Firmicutes	Bacilli	Firmicutes
CL115	3.704264463	mono2	3.77014048988385	Sequence_43	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	B	Firmicutes	Bacilli	Firmicutes
CL115	5.025966942	mono2	5.11534790728897	Sequence_43	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	B	Firmicutes	Bacilli	Firmicutes
CL115	4.791545455	mono1	4.59881114157291	Sequence_43	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	B	Firmicutes	Bacilli	Firmicutes
CL115	5.553942149	mono1	5.33054131998683	Sequence_43	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	B	Firmicutes	Bacilli	Firmicutes
CL115	5.336338843	mono1	5.12169085253866	Sequence_43	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	B	Firmicutes	Bacilli	Firmicutes
CL115	6.079438017	mono1	5.83489973113102	Sequence_43	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	B	Firmicutes	Bacilli	Firmicutes
CL115	6.323528926	mono2	6.4359855191215	Sequence_43	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	B	Firmicutes	Bacilli	Firmicutes
CL115	4.58785124	mono2	4.66944082806645	Sequence_43	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	B	Firmicutes	Bacilli	Firmicutes
CL115	6.448809917	mono2	6.56349448655611	Sequence_43	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	B	Firmicutes	Bacilli	Firmicutes
CL115	6.183305785	mono2	6.29326867296126	Sequence_43	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	B	Firmicutes	Bacilli	Firmicutes
CL115	6.397363636	mono2	6.51113329339904	Sequence_43	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	B	Firmicutes	Bacilli	Firmicutes
CL116	4.949809917	mono1	4.75070960063922	Sequence_71	NA	C	NA	NA	NA
CL116	4.949809917	mono1	4.75070960063922	Sequence_71	NA	C	NA	NA	NA
CL116	6.892966942	mono2	7.01555032666821	Sequence_71	NA	C	NA	NA	NA
CL116	6.892966942	mono2	7.01555032666821	Sequence_71	NA	C	NA	NA	NA
CL116	5.460173554	mono1	5.24054445708206	Sequence_71	NA	C	NA	NA	NA
CL116	5.460173554	mono1	5.24054445708206	Sequence_71	NA	C	NA	NA	NA
CL116	6.193438017	mono2	6.30358109490026	Sequence_71	NA	C	NA	NA	NA
CL116	6.193438017	mono2	6.30358109490026	Sequence_71	NA	C	NA	NA	NA
CL116	6.894743802	mono2	7.01735878605273	Sequence_71	NA	C	NA	NA	NA
CL116	6.894743802	mono2	7.01735878605273	Sequence_71	NA	C	NA	NA	NA
CL116	5.87692562	mono1	5.64053315851332	Sequence_71	NA	C	NA	NA	NA
CL116	5.87692562	mono1	5.64053315851332	Sequence_71	NA	C	NA	NA	NA
CL116	6.049586777	mono1	5.80624922235654	Sequence_71	NA	C	NA	NA	NA
CL116	6.049586777	mono1	5.80624922235654	Sequence_71	NA	C	NA	NA	NA
CL116	6.23438843	mono1	5.9836174449434	Sequence_71	NA	C	NA	NA	NA
CL116	6.23438843	mono1	5.9836174449434	Sequence_71	NA	C	NA	NA	NA
CL116	6.087322314	mono1	5.84246689150288	Sequence_71	NA	C	NA	NA	NA
CL116	6.087322314	mono1	5.84246689150288	Sequence_71	NA	C	NA	NA	NA
CL116	6.961644628	mono2	7.08544936528341	Sequence_71	NA	C	NA	NA	NA
CL116	6.961644628	mono2	7.08544936528341	Sequence_71	NA	C	NA	NA	NA
CL116	6.750363636	mono2	6.87041098704707	Sequence_71	NA	C	NA	NA	NA
CL116	6.750363636	mono2	6.87041098704707	Sequence_71	NA	C	NA	NA	NA
CL116	5.355603306	mono1	5.14018042503941	Sequence_71	NA	C	NA	NA	NA
CL116	5.355603306	mono1	5.14018042503941	Sequence_71	NA	C	NA	NA	NA
CL116	4.935438017	mono1	4.73691579351241	Sequence_71	NA	C	NA	NA	NA
CL116	4.935438017	mono1	4.73691579351241	Sequence_71	NA	C	NA	NA	NA
CL116	7.528743802	mono2	7.66263373725061	Sequence_71	NA	C	NA	NA	NA
CL116	7.528743802	mono2	7.66263373725061	Sequence_71	NA	C	NA	NA	NA
CL116	5.519297521	mono1	5.29729023164001	Sequence_71	NA	C	NA	NA	NA
CL116	5.519297521	mono1	5.29729023164001	Sequence_71	NA	C	NA	NA	NA
CL116	6.72285124	mono2	6.84240931514448	Sequence_71	NA	C	NA	NA	NA
CL116	6.72285124	mono2	6.84240931514448	Sequence_71	NA	C	NA	NA	NA
CL116	7.069636364	mono2	7.19536160846507	Sequence_71	NA	C	NA	NA	NA
CL116	7.069636364	mono2	7.19536160846507	Sequence_71	NA	C	NA	NA	NA
CL116	7.021826446	mono2	7.14670144678648	Sequence_71	NA	C	NA	NA	NA
CL116	7.021826446	mono2	7.14670144678648	Sequence_71	NA	C	NA	NA	NA
CL116	5.826917355	mono1	5.59253641750093	Sequence_71	NA	C	NA	NA	NA
CL116	5.826917355	mono1	5.59253641750093	Sequence_71	NA	C	NA	NA	NA
CL116	7.19114876	mono2	7.31903496082917	Sequence_71	NA	C	NA	NA	NA
CL116	7.19114876	mono2	7.31903496082917	Sequence_71	NA	C	NA	NA	NA
CL117	6.001280992	mono2	6.1080067811318	Sequence_95	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL117	6.240942149	mono2	6.35193003253117	Sequence_95	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL117	2.39868595	mono1	2.30220161231767	Sequence_95	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL117	6.297809917	mono2	6.40980912751687	Sequence_95	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL117	6.322512397	mono2	6.4349509123378	Sequence_95	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL117	5.771322314	mono2	5.87395855601511	Sequence_95	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL117	6.994545455	mono2	7.11893529515217	Sequence_95	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL117	5.956661157	mono2	6.06259343436195	Sequence_95	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL117	2.232644628	mono1	2.1428391083518	Sequence_95	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL117	2.306322314	mono1	2.21355319557986	Sequence_95	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL117	1.984867769	mono1	1.90502878379272	Sequence_95	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL117	2.082793388	mono1	1.99901545926768	Sequence_95	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL117	2.284355372	mono1	2.19246984813703	Sequence_95	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL117	1.959305785	mono1	1.88049500071084	Sequence_95	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL117	5.887115702	mono2	5.99181119448631	Sequence_95	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL117	2.568	mono1	2.46470520262637	Sequence_95	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL117	1.811446281	mono1	1.73858297237496	Sequence_95	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL117	6.465702479	mono2	6.58068746308633	Sequence_95	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL117	1.936421488	mono1	1.85853119780027	Sequence_95	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL117	2.568	mono1	2.46470520262637	Sequence_95	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL123	6.427991736	mono2	6.54230607846652	Sequence_28	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL123	1.414958678	mono1	1.35804361961368	Sequence_28	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL123	6.404809917	mono2	6.51871199782945	Sequence_28	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL123	6.541413223	mono2	6.65774463444241	Sequence_28	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL123	1.463016529	mono1	1.40416839974871	Sequence_28	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL123	5.978495868	mono2	6.08481645025303	Sequence_28	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL123	1.182049587	mono1	1.13450302447089	Sequence_28	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL123	6.339842975	mono2	6.45258969447215	Sequence_28	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL123	6.613099174	mono2	6.73070543654509	Sequence_28	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL123	1.374636364	mono1	1.31934322354759	Sequence_28	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL123	1.337231405	mono1	1.28344283528772	Sequence_28	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL123	1.563752066	mono1	1.50085196755761	Sequence_28	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL123	6.347545455	mono2	6.46042915410323	Sequence_28	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL123	6.401495868	mono2	6.51533901232985	Sequence_28	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL123	5.732636364	mono2	5.83458462147522	Sequence_28	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL123	1.332859504	mono1	1.27924678889362	Sequence_28	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL123	1.688867769	mono1	1.6209350376956	Sequence_28	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL123	1.692504132	mono1	1.62442513224573	Sequence_28	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
CL123	4.785702479	mono2	4.87081062079542	Sequence_28	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	B	Firmicutes	Bacilli	Firmicutes
