Strain	Length	Experiment
MF4	5.534479339	mono1
MF4	5.263272727	mono1
MF4	5.798099174	mono1
MF4	5.77946281	mono1
MF4	6.026628099	mono1
MF4	6.199140496	mono1
MF4	4.78614876	mono1
MF4	4.942842975	mono1
MF40	4.282876033	mono1
MF40	3.054016529	mono1
MF40	3.461322314	mono1
MF40	4.155016529	mono1
MF40	4.344008264	mono1
MF40	3.847132231	mono1
MF40	4.016528926	mono1
MF40	3.943396694	mono1
MF40	2.662264463	mono1
MF45	2.754859504	mono1
MF45	1.867586777	mono1
MF45	2.674471074	mono1
MF45	3.444404959	mono1
MF45	2.60885124	mono1
MF45	2.876140496	mono1
MF45	3.113421488	mono1
MF45	3.026421488	mono1
MF45	2.75753719	mono1
MF45	2.415289256	mono1
MF455	5.95046281	mono1
MF455	5.975256198	mono1
MF455	6.001842975	mono1
MF455	5.188454545	mono1
MF455	5.357438017	mono1
MF455	5.334264463	mono1
MF455	5.08868595	mono1
MF455	5.627446281	mono1
MF455	4.709570248	mono1
MF455	5.385876033	mono1
MF48	0.994520661	mono1
MF48	1.24585124	mono1
MF48	0.798404959	mono1
MF48	1.314983471	mono1
MF48	1.36453719	mono1
MF48	1.374636364	mono1
MF48	1.419950413	mono1
MF48	0.992041322	mono1
MF48	0.619834711	mono1
MF48	1.167661157	mono1
MF50	2.118024793	mono1
MF50	3.125057851	mono1
MF50	3.70546281	mono1
MF50	3.22331405	mono1
MF50	2.838404959	mono1
MF50	1.964785124	mono1
MF50	2.413735537	mono1
MF50	1.688867769	mono1
MF50	2.975256198	mono1
MF50	2.912892562	mono1
MF51	1.202983471	mono1
MF51	1.158090909	mono1
MF51	1.339247934	mono1
MF51	1.062107438	mono1
MF51	1.559859504	mono1
MF51	1.437256198	mono1
MF51	1.28138843	mono1
MF51	0.80177686	mono1
MF51	1.511016529	mono1
MF51	0.909545455	mono1
MF6	0.603247934	mono1
MF6	1.28853719	mono1
MF6	1.314280992	mono1
MF6	1.048677686	mono1
MF6	1.064958678	mono1
MF6	1.185165289	mono1
MF6	0.79377686	mono1
MF6	1.066115702	mono1
MF6	1.291396694	mono1
MF6	1.51422314	mono1
MF7	1.190338843	mono1
MF7	1.308421488	mono1
MF7	1.434809917	mono1
MF7	1.441429752	mono1
MF7	1.667801653	mono1
MF7	1.687586777	mono1
MF7	0.865991736	mono1
MF7	1.464702479	mono1
MF7	1.339760331	mono1
MF7	1.860991736	mono1
MF79	5.207909091	mono1
MF79	6.183305785	mono1
MF79	5.760719008	mono1
MF79	5.903636364	mono1
MF79	5.77946281	mono1
MF79	5.82961157	mono1
MF79	5.830239669	mono1
MF79	5.53031405	mono1
MF79	5.755322314	mono1
MF95	6.449330579	mono1
MF95	6.285256198	mono1
MF95	6.276694215	mono1
MF95	6.064247934	mono1
MF95	5.752115702	mono1
MF95	5.82961157	mono1
MF95	6.546628099	mono1
MF95	6.370504132	mono1
MF95	6.677206612	mono1
MF95	5.126900826	mono1
CL115	4.791545455	mono1
CL115	5.212512397	mono1
CL115	5.529429752	mono1
CL115	5.952942149	mono1
CL115	5.876504132	mono1
CL115	6.079438017	mono1
CL115	6.032132231	mono1
CL115	6.32231405	mono1
CL115	5.553942149	mono1
CL115	5.336338843	mono1
CL117	2.568	mono1
CL117	2.568	mono1
CL117	2.284355372	mono1
CL117	1.984867769	mono1
CL117	1.811446281	mono1
CL117	2.082793388	mono1
CL117	2.306322314	mono1
CL117	1.936421488	mono1
CL117	2.39868595	mono1
CL117	1.959305785	mono1
CL117	2.232644628	mono1
CL123	1.563752066	mono1
CL123	1.182049587	mono1
CL123	1.463016529	mono1
CL123	1.414958678	mono1
CL123	1.374636364	mono1
CL123	1.438231405	mono1
CL123	1.332859504	mono1
CL123	1.688867769	mono1
CL123	1.692504132	mono1
CL123	1.337231405	mono1
CL13	6.346768595	mono1
CL13	6.404809917	mono1
CL13	6.260760331	mono1
CL13	6.10138843	mono1
CL13	6.647586777	mono1
CL13	6.229264463	mono1
CL13	5.320190083	mono1
CL13	5.976033058	mono1
CL130	1.082421488	mono1
CL130	0.945082645	mono1
CL130	1.36431405	mono1
CL130	1.031239669	mono1
CL130	0.776553719	mono1
CL130	0.848066116	mono1
CL130	1.760504132	mono1
CL130	0.705198347	mono1
CL130	0.452438017	mono1
CL130	0.967256198	mono1
CL141a	4.985694215	mono1
CL141a	6.586834711	mono1
CL141a	6.21438843	mono1
CL141a	6.454330579	mono1
CL141a	5.921628099	mono1
CL141a	6.571	mono1
CL141a	5.952991736	mono1
CL141a	6.036264463	mono1
CL141a	5.34785124	mono1
 CL18	1.586966942	mono1
 CL18	2.839900826	mono1
 CL18	2.207867769	mono1
 CL18	1.998909091	mono1
 CL18	2.652892562	mono1
 CL18	2.251289256	mono1
 CL18	2.478966942	mono1
 CL18	2.504256198	mono1
 CL18	1.846231405	mono1
CL25	6.486256198	mono1
CL25	6.02892562	mono1
CL25	6.961644628	mono1
CL25	5.919859504	mono1
CL25	6.774809917	mono1
CL25	6.406157025	mono1
CL25	6.185140496	mono1
CL25	6.422256198	mono1
CL25	6.718231405	mono1
CL4	5.62831405	mono1
CL4	5.824966942	mono1
CL4	5.05785124	mono1
CL4	5.355429752	mono1
CL4	4.815090909	mono1
CL4	5.449355372	mono1
CL4	5.621545455	mono1
CL4	5.431338843	mono1
CL4	4.566289256	mono1
CL52	1.785297521	mono1
CL52	1.738371901	mono1
CL52	1.749826446	mono1
CL52	1.737834711	mono1
CL52	1.959305785	mono1
CL52	1.834206612	mono1
CL52	1.993363636	mono1
CL52	1.834710744	mono1
CL72	0.89014876	mono1
CL72	0.621322314	mono1
CL72	0.070123967	mono1
CL72	0.637438017	mono1
CL72	0.873413223	mono1
CL72	1.028553719	mono1
CL72	0.884950413	mono1
CL72	0.83122314	mono1
CL73	3.698289256	mono1
CL73	5.38707438	mono1
CL73	5.685479339	mono1
CL73	5.332016529	mono1
CL73	4.916661157	mono1
CL73	6.102396694	mono1
CL73	5.750785124	mono1
CL73	5.479396694	mono1
CL81	4.615834711	mono1
CL81	5.306016529	mono1
CL81	4.562049587	mono1
CL81	5.237280992	mono1
CL81	5.082644628	mono1
CL81	5.404958678	mono1
CL81	4.786090909	mono1
CL81	4.563057851	mono1
CL9	2.209256198	mono1
CL9	1.960561983	mono1
CL9	1.537991736	mono1
CL9	1.344570248	mono1
CL9	1.259595041	mono1
CL9	1.492760331	mono1
CL9	1.745603306	mono1
CL9	1.59161157	mono1
CL91	0.711512397	mono1
CL91	0.398066116	mono1
CL91	0.461033058	mono1
CL91	0.479619835	mono1
CL91	0.910892562	mono1
CL91	0.547702479	mono1
CL91	0.582280992	mono1
CL91	0.510256198	mono1
CL91	0.699115702	mono1
CL96	5.534454545	mono1
CL96	5.129958678	mono1
CL96	4.817297521	mono1
CL96	5.641669421	mono1
CL96	5.755512397	mono1
CL96	5.157132231	mono1
CL96	5.290520661	mono1
CL96	4.965115702	mono1
CL96	5.05214876	mono1
MF103	5.282743802	mono1
MF103	5.952363636	mono1
MF103	6.247958678	mono1
MF103	5.579090909	mono1
MF103	6.095570248	mono1
MF103	5.901404959	mono1
MF103	6.082669421	mono1
MF103	5.543504132	mono1
MF103	5.72368595	mono1
MF105	5.917933884	mono1
MF105	6.218256198	mono1
MF105	5.282743802	mono1
MF105	5.836206612	mono1
MF105	5.641818182	mono1
MF105	6.337305785	mono1
MF105	6.176	mono1
MF105	5.990768595	mono1
MF105	5.144322314	mono1
MF106	2.567305785	mono1
MF106	2.805876033	mono1
MF106	3.355049587	mono1
MF106	3.489950413	mono1
MF106	2.398743802	mono1
MF106	2.364561983	mono1
MF106	3.176305785	mono1
MF106	3.837057851	mono1
MF106	2.543520661	mono1
MF106	2.880396694	mono1
MF107	0.182570248	mono1
MF107	0.959958678	mono1
MF107	0.97646281	mono1
MF107	1.014884298	mono1
MF107	1.291057851	mono1
MF107	0.910446281	mono1
MF107	0.975206612	mono1
MF107	0.865991736	mono1
MF107	0.743801653	mono1
MF112	5.041752066	mono1
MF112	5.735247934	mono1
MF112	5.57377686	mono1
MF112	5.753041322	mono1
MF112	6.111677686	mono1
MF112	5.779404959	mono1
MF112	6.169099174	mono1
MF112	4.67277686	mono1
MF123	5.440049587	mono1
MF123	6.049677686	mono1
MF123	6.682123967	mono1
MF123	6.906991736	mono1
MF123	6.621561983	mono1
MF123	5.279355372	mono1
MF123	6.839958678	mono1
MF123	7.074454545	mono1
MF123	6.396884298	mono1
MF125	6.032132231	mono1
MF125	5.407008264	mono1
MF125	6.099173554	mono1
MF125	6.198396694	mono1
MF125	6.476578512	mono1
MF125	5.633553719	mono1
MF125	5.332016529	mono1
MF125	5.533429752	mono1
MF125	5.987950413	mono1
MF125	5.796033058	mono1
MF136	6.024842975	mono1
MF136	6.198793388	mono1
MF136	6.002512397	mono1
MF136	5.750892562	mono1
MF136	5.678553719	mono1
MF136	5.767487603	mono1
MF136	5.752280992	mono1
MF136	6.02846281	mono1
MF136	6.57253719	mono1
MF138	6.420123967	mono1
MF138	6.425479339	mono1
MF138	5.851330579	mono1
MF138	6.121421488	mono1
MF138	6.420123967	mono1
MF138	6.016619835	mono1
MF138	6.658512397	mono1
MF138	6.117132231	mono1
MF138	6.319586777	mono1
MF138	5.761553719	mono1
MF140	6.35407438	mono1
MF140	6.578760331	mono1
MF140	4.83368595	mono1
MF140	5.983834711	mono1
MF140	6.150181818	mono1
MF140	6.016347107	mono1
MF140	6.360264463	mono1
MF140	5.884669421	mono1
MF140	6.250123967	mono1
MF140	5.902471074	mono1
MF143	6.848644628	mono1
MF143	6.713429752	mono1
MF143	5.33707438	mono1
MF143	6.710338843	mono1
MF143	6.326495868	mono1
MF143	7.120421488	mono1
MF143	7.288487603	mono1
MF143	6.523801653	mono1
MF143	6.491471074	mono1
MF166a	6.612892562	mono1
MF166a	6.874842975	mono1
MF166a	7.223421488	mono1
MF166a	6.413561983	mono1
MF166a	6.948520661	mono1
MF166a	7.480214876	mono1
MF166a	5.884669421	mono1
MF166a	6.347884298	mono1
MF166a	6.713677686	mono1
MF178	6.517760331	mono1
MF178	5.394917355	mono1
MF178	5.925107438	mono1
MF178	6.240231405	mono1
MF178	7.572049587	mono1
MF178	6.387099174	mono1
MF178	5.794561983	mono1
MF178	7.036355372	mono1
MF178	4.447479339	mono1
MF178	6.750363636	mono1
MF181	1.091413223	mono1
MF181	1.289677686	mono1
MF181	0.842809917	mono1
MF181	0.661157025	mono1
MF181	0.661983471	mono1
MF181	0.991735537	mono1
MF181	0.869619835	mono1
MF181	0.860140496	mono1
MF181	0.927975207	mono1
MF181	1.103363636	mono1
MF196	5.926446281	mono1
MF196	6.273165289	mono1
MF196	5.858801653	mono1
MF196	5.930752066	mono1
MF196	5.228115702	mono1
MF196	5.351008264	mono1
MF196	5.93577686	mono1
MF196	5.815198347	mono1
MF196	6.026628099	mono1
MF196	6.092165289	mono1
MF215	2.87907438	mono1
MF215	3.645966942	mono1
MF215	3.124975207	mono1
MF215	3.132652893	mono1
MF215	2.918280992	mono1
MF215	3.144842975	mono1
MF215	3.329504132	mono1
MF215	3.360371901	mono1
MF215	3.360371901	mono1
MF215	3.034123967	mono1
MF217	4.74461157	mono1
MF217	5.656917355	mono1
MF217	5.760719008	mono1
MF217	5.529595041	mono1
MF217	5.608619835	mono1
MF217	5.355429752	mono1
MF217	5.831082645	mono1
MF217	6.103256198	mono1
MF22	3.424	mono1
MF22	4.451016529	mono1
MF22	4.563669421	mono1
MF22	4.766785124	mono1
MF22	4.678008264	mono1
MF22	4.641727273	mono1
MF22	5.38222314	mono1
MF22	4.299561983	mono1
MF22	3.719338843	mono1
MF22	4.845446281	mono1
MF259	2.343727273	mono1
MF259	4.002809917	mono1
MF259	3.041917355	mono1
MF259	2.460669421	mono1
MF259	4.337429752	mono1
MF259	3.342330579	mono1
MF259	4.017214876	mono1
MF259	4.608438017	mono1
MF27	2.365892562	mono1
MF27	2.151049587	mono1
MF27	2.993512397	mono1
MF27	2.713966942	mono1
MF27	2.807586777	mono1
MF27	2.477578512	mono1
MF27	2.625760331	mono1
MF27	2.529950413	mono1
MF27	2.612404959	mono1
MF27	2.382231405	mono1
MF28	5.950595041	mono1
MF28	5.023033058	mono1
MF28	6.235768595	mono1
MF28	5.909619835	mono1
MF28	5.055057851	mono1
MF28	5.877338843	mono1
MF28	5.750892562	mono1
MF28	5.699297521	mono1
MF28	5.806950413	mono1
MF28	6.075644628	mono1
MF299	5.281049587	mono1
MF299	5.581214876	mono1
MF299	5.416090909	mono1
MF299	4.769743802	mono1
MF299	4.786090909	mono1
MF299	5.431793388	mono1
MF299	5.332016529	mono1
MF299	5.347214876	mono1
MF299	5.37885124	mono1
MF303	3.384272727	mono1
MF303	2.879876033	mono1
MF303	4.046190083	mono1
MF303	3.743801653	mono1
MF303	3.002561983	mono1
MF303	3.381	mono1
MF303	3.317867769	mono1
MF303	3.712884298	mono1
MF303	3.755603306	mono1
MF303	3.851206612	mono1
MF322	6.242818182	mono1
MF322	6.123512397	mono1
MF322	4.536917355	mono1
MF322	6.330429752	mono1
MF322	6.180322314	mono1
MF322	6.298297521	mono1
MF322	5.748702479	mono1
MF322	5.936190083	mono1
MF322	5.445801653	mono1
MF322	4.660429752	mono1
MF329	6.471454545	mono1
MF329	6.237396694	mono1
MF329	6.437983471	mono1
MF329	5.810016529	mono1
MF329	6.050859504	mono1
MF329	5.711578512	mono1
MF329	5.522198347	mono1
MF329	3.496661157	mono1
MF329	5.839933884	mono1
MF331	5.013231405	mono1
MF331	5.62831405	mono1
MF331	6.069876033	mono1
MF331	6.143256198	mono1
MF331	6.000049587	mono1
MF331	5.752917355	mono1
MF331	5.677900826	mono1
MF331	6.402842975	mono1
MF331	6.494024793	mono1
MF331	5.120297521	mono1
MF332	4.939297521	mono1
MF332	1.664115702	mono1
MF332	3.463719008	mono1
MF332	1.785297521	mono1
MF332	2.553719008	mono1
MF332	2.316553719	mono1
MF332	2.186884298	mono1
MF332	2.975206612	mono1
MF332	2.535355372	mono1
MF332	3.93777686	mono1
MF333	4.499165289	mono1
MF333	4.240826446	mono1
MF333	4.665504132	mono1
MF333	4.09931405	mono1
MF333	4.691256198	mono1
MF333	3.350413223	mono1
MF333	3.881173554	mono1
MF333	4.016603306	mono1
MF351	4.431016529	mono1
MF351	4.487669421	mono1
MF351	4.167132231	mono1
MF351	5.063198347	mono1
MF351	4.86253719	mono1
MF351	4.997330579	mono1
MF351	5.16185124	mono1
MF351	5.159942149	mono1
MF351	4.723512397	mono1
MF366	1.464702479	mono1
MF366	1.08014876	mono1
MF366	1.230958678	mono1
MF366	1.27631405	mono1
MF366	1.26422314	mono1
MF366	0.607818182	mono1
MF366	0.865991736	mono1
MF366	1.274876033	mono1
MF374	5.423355372	mono1
MF374	4.828347107	mono1
MF374	5.003661157	mono1
MF374	5.544966942	mono1
MF374	5.985694215	mono1
MF374	5.930801653	mono1
MF374	6.323528926	mono1
MF374	5.762528926	mono1
MF374	5.805041322	mono1
MF374	5.590892562	mono1
MF41	5.131669421	mono1
MF41	5.028082645	mono1
MF41	5.12407438	mono1
MF41	4.893008264	mono1
MF41	4.419289256	mono1
MF41	4.221644628	mono1
MF41	4.582123967	mono1
MF41	3.768628099	mono1
MF41	4.226297521	mono1
MF451	4.959396694	mono1
MF451	4.514818182	mono1
MF451	4.779173554	mono1
MF451	4.628363636	mono1
MF451	4.713644628	mono1
MF451	4.549330579	mono1
MF451	3.973719008	mono1
MF451	3.869041322	mono1
MF451	3.942760331	mono1
MF453	5.059917355	mono1
MF453	4.687586777	mono1
MF453	4.591066116	mono1
MF453	5.008818182	mono1
MF453	4.563057851	mono1
MF453	4.787438017	mono1
MF453	5.14568595	mono1
MF453	4.895801653	mono1
MF491	0.945082645	mono1
MF491	0.942471074	mono1
MF491	1.082991736	mono1
MF491	0.768991736	mono1
MF491	0.992975207	mono1
MF491	0.747512397	mono1
MF491	0.787942149	mono1
MF491	0.873413223	mono1
MF499	5.555710744	mono1
MF499	6.276694215	mono1
MF499	4.830578512	mono1
MF499	6.401975207	mono1
MF499	6.471123967	mono1
MF499	6.843380165	mono1
MF499	6.642595041	mono1
MF499	6.570297521	mono1
MF499	5.810595041	mono1
MF499	6.436975207	mono1
MF5	6.866694215	mono1
MF5	5.975363636	mono1
MF5	5.605115702	mono1
MF5	6.161545455	mono1
MF5	6.814933884	mono1
MF5	5.914041322	mono1
MF5	6.532859504	mono1
MF5	6.435305785	mono1
MF5	6.244884298	mono1
MF5	5.717016529	mono1
MF69	4.327991736	mono1
MF69	4.95892562	mono1
MF69	4.421644628	mono1
MF69	4.526884298	mono1
MF69	3.885289256	mono1
MF69	4.368140496	mono1
MF69	3.767454545	mono1
MF69	4.011702479	mono1
MF69	4.376157025	mono1
MF69	3.977619835	mono1
MF72	6.806677686	mono1
MF72	5.985280992	mono1
MF72	6.788140496	mono1
MF72	6.846297521	mono1
MF72	6.842479339	mono1
MF72	7.142644628	mono1
MF72	6.465322314	mono1
MF72	6.201371901	mono1
MF72	6.655165289	mono1
MF72	6.603983471	mono1
CL116	6.087322314	mono1
CL116	6.049586777	mono1
CL116	5.355603306	mono1
CL116	4.935438017	mono1
CL116	5.826917355	mono1
CL116	5.87692562	mono1
CL116	4.949809917	mono1
CL116	6.23438843	mono1
CL116	5.519297521	mono1
CL116	5.460173554	mono1
CL125	5.83677686	mono1
CL125	4.847157025	mono1
CL125	5.877917355	mono1
CL125	5.815198347	mono1
CL125	5.654247934	mono1
CL125	5.697198347	mono1
CL125	5.952272727	mono1
CL125	5.223644628	mono1
CL125	5.884867769	mono1
CL126	5.033115702	mono1
CL126	4.83477686	mono1
CL126	5.410644628	mono1
CL126	5.733438017	mono1
CL126	5.810595041	mono1
CL126	5.505024793	mono1
CL126	5.509710744	mono1
CL126	6.050396694	mono1
CL126	5.363628099	mono1
CL126	5.533429752	mono1
CL129	5.257661157	mono1
CL129	5.852338843	mono1
CL129	5.869330579	mono1
CL129	6.047247934	mono1
CL129	5.615636364	mono1
CL129	5.865198347	mono1
CL129	5.381082645	mono1
CL129	6.049438017	mono1
CL129	5.688289256	mono1
CL129	5.926082645	mono1
CL136	5.820900826	mono1
CL136	5.191834711	mono1
CL136	5.475355372	mono1
CL136	5.68114876	mono1
CL136	5.670371901	mono1
CL136	5.256727273	mono1
CL136	5.112247934	mono1
CL136	5.162983471	mono1
CL136	5.896917355	mono1
CL136	5.481752066	mono1
CL143	5.297785124	mono1
CL143	5.288033058	mono1
CL143	5.400181818	mono1
CL143	5.115917355	mono1
CL143	5.854603306	mono1
CL143	5.870644628	mono1
CL143	5.800272727	mono1
CL143	5.660719008	mono1
CL143	6.172008264	mono1
CL143	6.277628099	mono1
CL19	6.220520661	mono1
CL19	5.950413223	mono1
CL19	6.225561983	mono1
CL19	5.580495868	mono1
CL19	6.652760331	mono1
CL19	5.79677686	mono1
CL19	6.168975207	mono1
CL19	5.805942149	mono1
CL19	5.709	mono1
CL19	5.709	mono1
CL19	4.765619835	mono1
CL2	5.396652893	mono1
CL2	3.953983471	mono1
CL2	4.367082645	mono1
CL2	4.09361157	mono1
CL2	4.457983471	mono1
CL2	6.258206612	mono1
CL2	5.596338843	mono1
CL2	5.785421488	mono1
CL2	5.730702479	mono1
CL2	5.205487603	mono1
CL32	4.071619835	mono1
CL32	4.330768595	mono1
CL32	4.132760331	mono1
CL32	3.905867769	mono1
CL32	3.643347107	mono1
CL32	5.09114876	mono1
CL32	4.148892562	mono1
CL32	4.476289256	mono1
CL32	5.029057851	mono1
CL33	3.628842975	mono1
CL33	4.312561983	mono1
CL33	4.369702479	mono1
CL33	4.330859504	mono1
CL33	4.044016529	mono1
CL33	4.424380165	mono1
CL33	3.956256198	mono1
CL33	4.231438017	mono1
CL33	3.772793388	mono1
CL41	3.860528926	mono1
CL41	3.57661157	mono1
CL41	3.868082645	mono1
CL41	4.744876033	mono1
CL41	4.630991736	mono1
CL41	4.760396694	mono1
CL41	3.547619835	mono1
CL41	4.314330579	mono1
CL41	3.888057851	mono1
MF10	2.072735537	mono1
MF10	1.985016529	mono1
MF10	2.060239669	mono1
MF10	1.777702479	mono1
MF10	1.686132231	mono1
MF10	2.052016529	mono1
MF10	2.950520661	mono1
MF10	2.595619835	mono1
MF10	2.356545455	mono1
MF174	5.18561157	mono1
MF174	5.977677686	mono1
MF174	5.318801653	mono1
MF174	5.827239669	mono1
MF174	5.419495868	mono1
MF174	5.590892562	mono1
MF174	5.356809917	mono1
MF174	5.730867769	mono1
MF174	6.077619835	mono1
MF174	5.807421488	mono1
MF177	5.455049587	mono1
MF177	5.318801653	mono1
MF177	5.223644628	mono1
MF177	5.578735537	mono1
MF177	6.020710744	mono1
MF177	6.096652893	mono1
MF177	4.678008264	mono1
MF177	5.640371901	mono1
MF177	5.640371901	mono1
MF190	5.381082645	mono1
MF190	5.578570248	mono1
MF190	5.465016529	mono1
MF190	5.358181818	mono1
MF190	5.931892562	mono1
MF190	5.931892562	mono1
MF190	6.23631405	mono1
MF190	6.026628099	mono1
MF190	6.138454545	mono1
MF190	4.584024793	mono1
MF190	6.144363636	mono1
MF2	5.489652893	mono1
MF2	5.781966942	mono1
MF2	4.782619835	mono1
MF2	4.875669421	mono1
MF2	4.909652893	mono1
MF2	6.26453719	mono1
MF2	5.790892562	mono1
MF2	5.527090909	mono1
MF2	5.060041322	mono1
MF2	4.629	mono1
MF224	0.827520661	mono1
MF224	0.739661157	mono1
MF224	0.768595041	mono1
MF224	0.870595041	mono1
MF224	1.192404959	mono1
MF224	1.449512397	mono1
MF224	0.968214876	mono1
MF224	0.89014876	mono1
MF224	1.142917355	mono1
MF275	5.415752066	mono1
MF275	5.050677686	mono1
MF275	5.513561983	mono1
MF275	4.395429752	mono1
MF275	5.634702479	mono1
MF275	5.953719008	mono1
MF275	6.055727273	mono1
MF275	5.434338843	mono1
MF275	6.061867769	mono1
MF275	5.824966942	mono1
MF300	4.576454545	mono1
MF300	5.159834711	mono1
MF300	5.40553719	mono1
MF300	5.717859504	mono1
MF300	5.453669421	mono1
MF300	5.350190083	mono1
MF300	5.124206612	mono1
MF300	5.55853719	mono1
MF300	5.511942149	mono1
MF300	5.124636364	mono1
MF302	4.459289256	mono1
MF302	5.353661157	mono1
MF302	5.240504132	mono1
MF302	5.222983471	mono1
MF302	4.793842975	mono1
MF302	5.423355372	mono1
MF302	5.290909091	mono1
MF302	4.836652893	mono1
MF302	4.877041322	mono1
MF302	5.046066116	mono1
MF305	2.718644628	mono1
MF305	3.190380165	mono1
MF305	3.165710744	mono1
MF305	2.418876033	mono1
MF305	1.908	mono1
MF305	2.398743802	mono1
MF305	2.654735537	mono1
MF305	1.937338843	mono1
MF305	2.561719008	mono1
MF305	3.024834711	mono1
MF312a	4.714247934	mono1
MF312a	5.571132231	mono1
MF312a	4.748669421	mono1
MF312a	5.206636364	mono1
MF312a	5.445272727	mono1
MF312a	5.299396694	mono1
MF312a	4.150371901	mono1
MF312a	4.614504132	mono1
MF312a	5.326008264	mono1
MF312a	3.139710744	mono1
MF33	3.857330579	mono1
MF33	4.817132231	mono1
MF33	4.977917355	mono1
MF33	4.402933884	mono1
MF33	4.587570248	mono1
MF33	4.535578512	mono1
MF33	3.833413223	mono1
MF33	4.699892562	mono1
MF33	4.268661157	mono1
MF33	3.645090909	mono1
MF345	2.634033058	mono1
MF345	5.39714876	mono1
MF345	4.939165289	mono1
MF345	5.677512397	mono1
MF345	5.867355372	mono1
MF345	5.404371901	mono1
MF345	5.357710744	mono1
MF345	5.841057851	mono1
MF345	5.666446281	mono1
MF345	5.360355372	mono1
MF370	5.575479339	mono1
MF370	5.276330579	mono1
MF370	5.78807438	mono1
MF370	6.299909091	mono1
MF370	5.610107438	mono1
MF370	5.628975207	mono1
MF370	5.292619835	mono1
MF370	4.970809917	mono1
MF370	5.805942149	mono1
MF370	5.931892562	mono1
MF378	5.499719008	mono1
MF378	6.108487603	mono1
MF378	5.681578512	mono1
MF378	5.230173554	mono1
MF378	5.951702479	mono1
MF378	5.64777686	mono1
MF378	5.946330579	mono1
MF378	5.817157025	mono1
MF378	5.95392562	mono1
MF378	6.251082645	mono1
MF389	3.277322314	mono1
MF389	2.777082645	mono1
MF389	3.282107438	mono1
MF389	2.524793388	mono1
MF389	3.436636364	mono1
MF389	2.900933884	mono1
MF389	3.52746281	mono1
MF389	2.780512397	mono1
MF389	3.598033058	mono1
MF389	3.102743802	mono1
MF42	6.130586777	mono1
MF42	5.13677686	mono1
MF42	4.822421488	mono1
MF42	5.654471074	mono1
MF42	5.315561983	mono1
MF42	5.368495868	mono1
MF42	5.020280992	mono1
MF42	5.804933884	mono1
MF42	5.108396694	mono1
MF42	5.380619835	mono1
MF57	5.304107438	mono1
MF57	4.78277686	mono1
MF57	5.297619835	mono1
MF57	5.125669421	mono1
MF57	4.582181818	mono1
MF57	4.994471074	mono1
MF57	5.334719008	mono1
MF57	4.723917355	mono1
MF57	5.061735537	mono1
MF57	5.040429752	mono1
MF8	6.344090909	mono1
MF8	6.433471074	mono1
MF8	6.466256198	mono1
MF8	6.032495868	mono1
MF8	5.151190083	mono1
MF8	5.90931405	mono1
MF8	6.125966942	mono1
MF8	6.213206612	mono1
MF8	5.424008264	mono1
CL10	4.538884298	mono1
CL10	4.958735537	mono1
CL10	5.050677686	mono1
CL10	4.421082645	mono1
CL10	2.95946281	mono1
CL10	3.80107438	mono1
CL10	3.923702479	mono1
CL10	5.022049587	mono1
CL10	5.55753719	mono1
CL127	6.013355372	mono1
CL127	6.024842975	mono1
CL127	5.781165289	mono1
CL127	6.142057851	mono1
CL127	6.357024793	mono1
CL127	6.420338843	mono1
CL127	6.525371901	mono1
CL127	6.349479339	mono1
CL127	6.484785124	mono1
CL127	6.363983471	mono1
CL12a	6.620016529	mono1
CL12a	6.571	mono1
CL12a	6.115578512	mono1
CL12a	5.776909091	mono1
CL12a	5.824966942	mono1
CL12a	5.955578512	mono1
CL12a	5.995743802	mono1
CL12a	5.649247934	mono1
CL140	6.442702479	mono1
CL140	5.873727273	mono1
CL140	5.697628099	mono1
CL140	5.926603306	mono1
CL140	5.792214876	mono1
CL140	6.132595041	mono1
CL140	6.049024793	mono1
CL140	6.197603306	mono1
CL140	6.29361157	mono1
CL147	5.672487603	mono1
CL147	6.119752066	mono1
CL147	5.331504132	mono1
CL147	4.507355372	mono1
CL147	5.75468595	mono1
CL147	6.117338843	mono1
CL147	5.457305785	mono1
CL147	5.714595041	mono1
CL152	5.184727273	mono1
CL152	6.041297521	mono1
CL152	5.678553719	mono1
CL152	5.792371901	mono1
CL152	5.256429752	mono1
CL152	5.703826446	mono1
CL152	5.637322314	mono1
CL152	5.733760331	mono1
CL152	5.108396694	mono1
CL17	4.357181818	mono1
CL17	4.265619835	mono1
CL17	4.420983471	mono1
CL17	3.380479339	mono1
CL17	3.628842975	mono1
CL17	4.002661157	mono1
CL17	3.473595041	mono1
CL17	5.308355372	mono1
CL17	3.603909091	mono1
CL20	3.174115702	mono1
CL20	3.62168595	mono1
CL20	4.598520661	mono1
CL20	4.793305785	mono1
CL20	4.625380165	mono1
CL20	5.196421488	mono1
CL20	4.810942149	mono1
CL20	4.385429752	mono1
CL20	4.610892562	mono1
CL28	2.073247934	mono1
CL28	1.207066116	mono1
CL28	1.595702479	mono1
CL28	1.774454545	mono1
CL28	1.092033058	mono1
CL28	1.098892562	mono1
CL28	0.902305785	mono1
CL28	0.914487603	mono1
CL28	1.059016529	mono1
CL28	1.219115702	mono1
CL63	2.110140496	mono1
CL63	2.01822314	mono1
CL63	1.867768595	mono1
CL63	1.138578512	mono1
CL63	2.144752066	mono1
CL63	1.011644628	mono1
CL63	0.989115702	mono1
CL63	0.967330579	mono1
CL63	0.967330579	mono1
