GFP_Intensity	Genotype	Strain	Time	Rep
2324	33.178	DR5	CL28	03d	Rep3
2325	27.569	DR5	CL28	03d	Rep3
2326	27.768	DR5	CL28	03d	Rep3
2327	27.497	DR5	CL28	03d	Rep3
2328	35.393	DR5	CL28	03d	Rep3
2329	30.087	DR5	CL28	03d	Rep3
2330	29.556	DR5	CL28	03d	Rep3
2331	35.137	DR5	CL28	03d	Rep3
2332	32.826	DR5	CL28	03d	Rep3
2333	30.483	DR5	CL28	03d	Rep3
2334	29.526	DR5	CL28	03d	Rep3
2335	29.869	DR5	CL28	03d	Rep3
2336	29.383	DR5	CL28	03d	Rep3
2337	29.407	DR5	CL28	03d	Rep3
2338	28.14	DR5	CL28	03d	Rep3
2339	28.7	DR5	CL28	03d	Rep3
2340	28.194	DR5	CL28	03d	Rep3
2341	28.194	DR5	CL28	03d	Rep3
2482	19.957	DR5	NB	03d	Rep3
2483	24.353	DR5	NB	03d	Rep3
2484	19.732	DR5	NB	03d	Rep3
2485	35.188	DR5	NB	03d	Rep3
2486	16.056	DR5	NB	03d	Rep3
2487	22.298	DR5	NB	03d	Rep3
2488	20.842	DR5	NB	03d	Rep3
2489	19.517	DR5	NB	03d	Rep3
2490	18.849	DR5	NB	03d	Rep3
2491	28.072	DR5	NB	03d	Rep3
2492	20.818	DR5	NB	03d	Rep3
2493	24.963	DR5	NB	03d	Rep3
2494	19.051	DR5	NB	03d	Rep3
2495	24.979	DR5	NB	03d	Rep3
2496	20.848	DR5	NB	03d	Rep3
2497	17.174	DR5	NB	03d	Rep3
2498	29.487	DR5	NB	03d	Rep3
2499	20.319	DR5	NB	03d	Rep3
2500	19.813	DR5	NB	03d	Rep3
2501	23.488	DR5	NB	03d	Rep3
2502	16.088	DR5	NB	03d	Rep3
2503	17.578	DR5	NB	03d	Rep3
2504	17.916	DR5	NB	03d	Rep3
2505	22.397	DR5	NB	03d	Rep3
2506	20.546	DR5	NB	03d	Rep3
2507	23.1	DR5	NB	03d	Rep3
2508	23.966	DR5	NB	03d	Rep3
2509	20.933	DR5	NB	03d	Rep3
2510	23.188	DR5	NB	03d	Rep3
2511	17.376	DR5	NB	03d	Rep3
2512	28.864	DR5	NB	03d	Rep3
2513	18.371	DR5	NB	03d	Rep3
2514	18.1	DR5	NB	03d	Rep3
2515	21.634	DR5	NB	03d	Rep3
2516	24.249	DR5	NB	03d	Rep3
2517	18.846	DR5	NB	03d	Rep3
2518	22.304	DR5	NB	03d	Rep3
2519	34.077	DR5	NB	03d	Rep3
2520	24.838	DR5	NB	03d	Rep3
2521	26.604	DR5	NB	03d	Rep3
2522	19.764	DR5	NB	03d	Rep3
2523	17.272	DR5	NB	03d	Rep3
2524	21.459	DR5	NB	03d	Rep3
2525	18.824	DR5	NB	03d	Rep3
2526	15.759	DR5	NB	03d	Rep3
2527	15.973	DR5	NB	03d	Rep3
2528	16.244	DR5	NB	03d	Rep3
2529	18.904	DR5	NB	03d	Rep3
2530	16.372	DR5	NB	03d	Rep3
2531	17.669	DR5	NB	03d	Rep3
2532	29.348	DR5	NB	03d	Rep3
2533	20.834	DR5	NB	03d	Rep3
2534	20.129	DR5	NB	03d	Rep3
2535	21.269	DR5	NB	03d	Rep3
2536	19.342	DR5	NB	03d	Rep3
2537	20.882	DR5	NB	03d	Rep3
2538	17.722	DR5	NB	03d	Rep3
2539	20.758	DR5	NB	03d	Rep3
2540	25.107	DR5	NB	03d	Rep3
2541	30.729	DR5	NB	03d	Rep3
2542	32.842	DR5	NB	03d	Rep3
2543	20.97	DR5	NB	03d	Rep3
2544	31.179	DR5	NB	03d	Rep3
2545	20.952	DR5	NB	03d	Rep3
2546	31.767	DR5	NB	03d	Rep3
2547	20.098	DR5	NB	03d	Rep3
2548	18.721	DR5	NB	03d	Rep3
2549	34.053	DR5	NB	03d	Rep3
2550	25.858	DR5	NB	03d	Rep3
2551	27.368	DR5	NB	03d	Rep3
2552	19.899	DR5	NB	03d	Rep3
2553	15.769	DR5	NB	03d	Rep3
2554	14.823	DR5	NB	03d	Rep3
2555	21.978	DR5	NB	03d	Rep3
2556	21.65	DR5	NB	03d	Rep3
2557	21.563	DR5	NB	03d	Rep3
2558	13.338	DR5	NB	03d	Rep3
2559	24.504	DR5	NB	03d	Rep3
2560	14.664	DR5	NB	03d	Rep3
2561	18.522	DR5	NB	03d	Rep3
2562	16.944	DR5	NB	03d	Rep3
2563	26.624	DR5	NB	03d	Rep3
2564	21.69	DR5	NB	03d	Rep3
2565	27.279	DR5	NB	03d	Rep3
2566	17.884	DR5	NB	03d	Rep3
2567	21.949	DR5	NB	03d	Rep3
2568	21.798	DR5	NB	03d	Rep3
2569	22.088	DR5	NB	03d	Rep3
2570	37.758	DR5	NB	03d	Rep3
2571	19.483	DR5	NB	03d	Rep3
2572	18.896	DR5	NB	03d	Rep3
2573	23.923	DR5	NB	03d	Rep3
2574	20.138	DR5	NB	03d	Rep3
2575	34.356	DR5	NB	03d	Rep3
2576	17.454	DR5	NB	03d	Rep3
2577	20.032	DR5	NB	03d	Rep3
2578	11.558	DR5	NB	03d	Rep3
2579	26.052	DR5	NB	03d	Rep3
2580	24.389	DR5	NB	03d	Rep3
2581	26.399	DR5	NB	03d	Rep3
2752	16.248	DR5	CL28+CL14	06d	Rep3
2753	16.263	DR5	CL28+CL14	06d	Rep3
2754	13.415	DR5	CL28+CL14	06d	Rep3
2755	13.357	DR5	CL28+CL14	06d	Rep3
2756	16.109	DR5	CL28+CL14	06d	Rep3
2757	16.893	DR5	CL28+CL14	06d	Rep3
2758	13.351	DR5	CL28+CL14	06d	Rep3
2759	18.464	DR5	CL28+CL14	06d	Rep3
2760	16.713	DR5	CL28+CL14	06d	Rep3
2761	16.37	DR5	CL28+CL14	06d	Rep3
2762	18.91	DR5	CL28+CL14	06d	Rep3
2763	16.623	DR5	CL28+CL14	06d	Rep3
2764	17.269	DR5	CL28+CL14	06d	Rep3
2765	16.008	DR5	CL28+CL14	06d	Rep3
2766	18.477	DR5	CL28+CL14	06d	Rep3
2767	16.043	DR5	CL28+CL14	06d	Rep3
2768	17.351	DR5	CL28+CL14	06d	Rep3
2769	16.89	DR5	CL28+CL14	06d	Rep3
2770	18.06	DR5	CL28+CL14	06d	Rep3
2771	17.28	DR5	CL28+CL14	06d	Rep3
2772	18.096	DR5	CL28+CL14	06d	Rep3
2773	19.193	DR5	CL28+CL14	06d	Rep3
2774	15.597	DR5	CL28+CL14	06d	Rep3
2775	18.262	DR5	CL28+CL14	06d	Rep3
2776	16.258	DR5	CL28+CL14	06d	Rep3
2777	16.869	DR5	CL28+CL14	06d	Rep3
2778	16.669	DR5	CL28+CL14	06d	Rep3
2779	18.856	DR5	CL28+CL14	06d	Rep3
2780	17.971	DR5	CL28+CL14	06d	Rep3
2781	15.679	DR5	CL28+CL14	06d	Rep3
2782	21.119	DR5	CL28+CL14	06d	Rep3
2783	20.847	DR5	CL28+CL14	06d	Rep3
2784	22.971	DR5	CL28+CL14	06d	Rep3
2785	21.991	DR5	CL28+CL14	06d	Rep3
2786	21.263	DR5	CL28+CL14	06d	Rep3
2787	18.28	DR5	CL28+CL14	06d	Rep3
2788	20.779	DR5	CL28+CL14	06d	Rep3
2789	19.979	DR5	CL28+CL14	06d	Rep3
2790	20.824	DR5	CL28+CL14	06d	Rep3
2791	22.613	DR5	CL28+CL14	06d	Rep3
2792	18.398	DR5	CL28+CL14	06d	Rep3
2793	16.599	DR5	CL28+CL14	06d	Rep3
2794	17.206	DR5	CL28+CL14	06d	Rep3
2795	20.194	DR5	CL28+CL14	06d	Rep3
2796	16.143	DR5	CL28+CL14	06d	Rep3
2797	19.116	DR5	CL28+CL14	06d	Rep3
2798	17.623	DR5	CL28+CL14	06d	Rep3
2799	15.821	DR5	CL28+CL14	06d	Rep3
2800	18.27	DR5	CL28+CL14	06d	Rep3
2801	15.97	DR5	CL28+CL14	06d	Rep3
2802	17.344	DR5	CL28+CL14	06d	Rep3
2803	15.828	DR5	CL28+CL14	06d	Rep3
2804	15.18	DR5	CL28+CL14	06d	Rep3
2805	17.008	DR5	CL28+CL14	06d	Rep3
2806	17.344	DR5	CL28+CL14	06d	Rep3
2807	13.232	DR5	CL28+CL14	06d	Rep3
2808	14.804	DR5	CL28+CL14	06d	Rep3
2809	18.237	DR5	CL28+CL14	06d	Rep3
2810	15.893	DR5	CL28+CL14	06d	Rep3
2811	16.08	DR5	CL28+CL14	06d	Rep3
2812	17.007	DR5	CL28+CL14	06d	Rep3
2813	16.448	DR5	CL28+CL14	06d	Rep3
2814	18.843	DR5	CL28+CL14	06d	Rep3
2815	16.821	DR5	CL28+CL14	06d	Rep3
2816	16.523	DR5	CL28+CL14	06d	Rep3
2817	16.1	DR5	CL28+CL14	06d	Rep3
2818	17.066	DR5	CL28+CL14	06d	Rep3
2819	17.833	DR5	CL28+CL14	06d	Rep3
2820	17.711	DR5	CL28+CL14	06d	Rep3
2821	16.413	DR5	CL28+CL14	06d	Rep3
2822	17.951	DR5	CL28+CL14	06d	Rep3
2823	19.557	DR5	CL28+CL14	06d	Rep3
2824	16.226	DR5	CL28+CL14	06d	Rep3
2825	16.532	DR5	CL28+CL14	06d	Rep3
2826	16.508	DR5	CL28+CL14	06d	Rep3
2827	20.077	DR5	CL28+CL14	06d	Rep3
2828	16.072	DR5	CL28+CL14	06d	Rep3
2829	16.847	DR5	CL28+CL14	06d	Rep3
2830	16.188	DR5	CL28+CL14	06d	Rep3
2831	21.227	DR5	CL28+CL14	06d	Rep3
2832	52.81	DR5	CL28	06d	Rep3
2833	49.911	DR5	CL28	06d	Rep3
2834	62.728	DR5	CL28	06d	Rep3
2835	51.5	DR5	CL28	06d	Rep3
2836	54.807	DR5	CL28	06d	Rep3
2837	55.406	DR5	CL28	06d	Rep3
2838	41.674	DR5	CL28	06d	Rep3
2839	54.041	DR5	CL28	06d	Rep3
2840	49.729	DR5	CL28	06d	Rep3
2841	58.322	DR5	CL28	06d	Rep3
2842	49.342	DR5	CL28	06d	Rep3
2843	58.906	DR5	CL28	06d	Rep3
2844	61.306	DR5	CL28	06d	Rep3
2845	67.703	DR5	CL28	06d	Rep3
2846	60.159	DR5	CL28	06d	Rep3
2847	64.341	DR5	CL28	06d	Rep3
2848	54.496	DR5	CL28	06d	Rep3
2849	69.507	DR5	CL28	06d	Rep3
2850	68.626	DR5	CL28	06d	Rep3
2851	75.429	DR5	CL28	06d	Rep3
2852	61.99	DR5	CL28	06d	Rep3
2853	67.054	DR5	CL28	06d	Rep3
2854	62.57	DR5	CL28	06d	Rep3
2855	45.518	DR5	CL28	06d	Rep3
2856	58.16	DR5	CL28	06d	Rep3
2857	52.517	DR5	CL28	06d	Rep3
2858	53.344	DR5	CL28	06d	Rep3
2859	67.842	DR5	CL28	06d	Rep3
2860	52.322	DR5	CL28	06d	Rep3
2861	66.234	DR5	CL28	06d	Rep3
2862	71.297	DR5	CL28	06d	Rep3
2863	64.391	DR5	CL28	06d	Rep3
2864	68.213	DR5	CL28	06d	Rep3
2865	67.132	DR5	CL28	06d	Rep3
2866	81.276	DR5	CL28	06d	Rep3
2867	80.653	DR5	CL28	06d	Rep3
2868	90.779	DR5	CL28	06d	Rep3
2869	68.651	DR5	CL28	06d	Rep3
2870	62.644	DR5	CL28	06d	Rep3
2871	78.112	DR5	CL28	06d	Rep3
2872	64.054	DR5	CL28	06d	Rep3
2873	74.893	DR5	CL28	06d	Rep3
2874	53.421	DR5	CL28	06d	Rep3
2875	72.081	DR5	CL28	06d	Rep3
2876	88.592	DR5	CL28	06d	Rep3
2877	70.261	DR5	CL28	06d	Rep3
2878	84.574	DR5	CL28	06d	Rep3
2879	65.212	DR5	CL28	06d	Rep3
2880	55.224	DR5	CL28	06d	Rep3
2881	60.491	DR5	CL28	06d	Rep3
2882	48.692	DR5	CL28	06d	Rep3
2883	121.864	DR5	CL28	06d	Rep3
2884	44.7	DR5	CL28	06d	Rep3
2885	43.191	DR5	CL28	06d	Rep3
2886	54.832	DR5	CL28	06d	Rep3
2887	66.618	DR5	CL28	06d	Rep3
2888	79.168	DR5	CL28	06d	Rep3
2889	56.849	DR5	CL28	06d	Rep3
2890	88.132	DR5	CL28	06d	Rep3
2891	96.762	DR5	CL28	06d	Rep3
2892	63.678	DR5	CL28	06d	Rep3
2893	63.423	DR5	CL28	06d	Rep3
2894	61.492	DR5	CL28	06d	Rep3
2895	60.302	DR5	CL28	06d	Rep3
2896	80.053	DR5	CL28	06d	Rep3
2897	69.408	DR5	CL28	06d	Rep3
2898	56.31	DR5	CL28	06d	Rep3
2899	64.996	DR5	CL28	06d	Rep3
2900	89.684	DR5	CL28	06d	Rep3
2901	59.22	DR5	CL28	06d	Rep3
2902	74.139	DR5	CL28	06d	Rep3
2903	91.137	DR5	CL28	06d	Rep3
2904	71.699	DR5	CL28	06d	Rep3
2905	71.28	DR5	CL28	06d	Rep3
2906	85.724	DR5	CL28	06d	Rep3
2907	84.231	DR5	CL28	06d	Rep3
2908	80.887	DR5	CL28	06d	Rep3
2909	57.338	DR5	CL28	06d	Rep3
2910	76.822	DR5	CL28	06d	Rep3
2911	96.971	DR5	CL28	06d	Rep3
2912	47.61	DR5	CL28	06d	Rep3
2913	60.764	DR5	CL28	06d	Rep3
2914	50.281	DR5	CL28	06d	Rep3
2915	55.02	DR5	CL28	06d	Rep3
2916	51.319	DR5	CL28	06d	Rep3
2917	57.102	DR5	CL28	06d	Rep3
2918	59.437	DR5	CL28	06d	Rep3
2919	65.154	DR5	CL28	06d	Rep3
2920	54.883	DR5	CL28	06d	Rep3
2921	66.586	DR5	CL28	06d	Rep3
3002	29.246	DR5	NB	06d	Rep3
3003	37.793	DR5	NB	06d	Rep3
3004	45.614	DR5	NB	06d	Rep3
3005	20.794	DR5	NB	06d	Rep3
3006	20.873	DR5	NB	06d	Rep3
3007	25.17	DR5	NB	06d	Rep3
3008	37.779	DR5	NB	06d	Rep3
3009	22.666	DR5	NB	06d	Rep3
3010	31.739	DR5	NB	06d	Rep3
3011	21.118	DR5	NB	06d	Rep3
3012	21.172	DR5	NB	06d	Rep3
3013	25.188	DR5	NB	06d	Rep3
3014	21.608	DR5	NB	06d	Rep3
3015	21.986	DR5	NB	06d	Rep3
3016	21.541	DR5	NB	06d	Rep3
3017	20.978	DR5	NB	06d	Rep3
3018	33.131	DR5	NB	06d	Rep3
3019	21.238	DR5	NB	06d	Rep3
3020	20.243	DR5	NB	06d	Rep3
3021	22.138	DR5	NB	06d	Rep3
3022	21.332	DR5	NB	06d	Rep3
3023	17.097	DR5	NB	06d	Rep3
3024	21.116	DR5	NB	06d	Rep3
3025	13.719	DR5	NB	06d	Rep3
3026	21.221	DR5	NB	06d	Rep3
3027	16.536	DR5	NB	06d	Rep3
3028	18.096	DR5	NB	06d	Rep3
3029	16.494	DR5	NB	06d	Rep3
3030	17.146	DR5	NB	06d	Rep3
3031	13.483	DR5	NB	06d	Rep3
3032	20.784	DR5	NB	06d	Rep3
3033	16.989	DR5	NB	06d	Rep3
3034	13.801	DR5	NB	06d	Rep3
3035	15.447	DR5	NB	06d	Rep3
3036	18.057	DR5	NB	06d	Rep3
3037	14.311	DR5	NB	06d	Rep3
3038	13.054	DR5	NB	06d	Rep3
3039	19.502	DR5	NB	06d	Rep3
3040	18.726	DR5	NB	06d	Rep3
3041	17.454	DR5	NB	06d	Rep3
3042	24.118	DR5	NB	06d	Rep3
3043	21.463	DR5	NB	06d	Rep3
3044	18.742	DR5	NB	06d	Rep3
3045	21.413	DR5	NB	06d	Rep3
3046	20.166	DR5	NB	06d	Rep3
3047	23.212	DR5	NB	06d	Rep3
3048	20.01	DR5	NB	06d	Rep3
3049	22.714	DR5	NB	06d	Rep3
3050	21.037	DR5	NB	06d	Rep3
3051	19.181	DR5	NB	06d	Rep3
3052	20.751	DR5	NB	06d	Rep3
3053	17.019	DR5	NB	06d	Rep3
3054	15.888	DR5	NB	06d	Rep3
3055	21.599	DR5	NB	06d	Rep3
3056	16.661	DR5	NB	06d	Rep3
3057	22.473	DR5	NB	06d	Rep3
3058	16.664	DR5	NB	06d	Rep3
3059	24.199	DR5	NB	06d	Rep3
3060	18.503	DR5	NB	06d	Rep3
3061	17.246	DR5	NB	06d	Rep3
3062	21.158	DR5	NB	06d	Rep3
3063	16.263	DR5	NB	06d	Rep3
3064	20.594	DR5	NB	06d	Rep3
3065	21.553	DR5	NB	06d	Rep3
3066	24.391	DR5	NB	06d	Rep3
3067	16.504	DR5	NB	06d	Rep3
3068	17.152	DR5	NB	06d	Rep3
3069	21.184	DR5	NB	06d	Rep3
3070	22.564	DR5	NB	06d	Rep3
3071	21.114	DR5	NB	06d	Rep3
3072	21.19	DR5	NB	06d	Rep3
3073	37.786	DR5	NB	06d	Rep3
3074	85.374	DR5	NB	06d	Rep3
3075	81.852	DR5	NB	06d	Rep3
3076	25.629	DR5	NB	06d	Rep3
3077	29.134	DR5	NB	06d	Rep3
3078	45.137	DR5	NB	06d	Rep3
3079	32.406	DR5	NB	06d	Rep3
3080	81.979	DR5	NB	06d	Rep3
3081	62.329	DR5	NB	06d	Rep3
3162	55.147	DR5	CL28	09d	Rep3
3163	57.301	DR5	CL28	09d	Rep3
3164	51.816	DR5	CL28	09d	Rep3
3165	42.837	DR5	CL28	09d	Rep3
3166	107.017	DR5	CL28	09d	Rep3
3167	53.687	DR5	CL28	09d	Rep3
3168	75.834	DR5	CL28	09d	Rep3
3169	53.333	DR5	CL28	09d	Rep3
3170	47.582	DR5	CL28	09d	Rep3
3171	45.702	DR5	CL28	09d	Rep3
3172	53.157	DR5	CL28	09d	Rep3
3173	56.624	DR5	CL28	09d	Rep3
3174	72.026	DR5	CL28	09d	Rep3
3175	61.192	DR5	CL28	09d	Rep3
3176	92.694	DR5	CL28	09d	Rep3
3177	111.438	DR5	CL28	09d	Rep3
3178	66.674	DR5	CL28	09d	Rep3
3179	51.961	DR5	CL28	09d	Rep3
3180	51.56	DR5	CL28	09d	Rep3
3181	58.118	DR5	CL28	09d	Rep3
3182	109.07	DR5	CL28	09d	Rep3
3183	128.446	DR5	CL28	09d	Rep3
3184	52.87	DR5	CL28	09d	Rep3
3185	123.12	DR5	CL28	09d	Rep3
3186	123.12	DR5	CL28	09d	Rep3
3187	93.813	DR5	CL28	09d	Rep3
3188	129.053	DR5	CL28	09d	Rep3
3189	82.078	DR5	CL28	09d	Rep3
3190	95.971	DR5	CL28	09d	Rep3
3191	107.316	DR5	CL28	09d	Rep3
3192	54.95	DR5	CL28	09d	Rep3
3193	57.491	DR5	CL28	09d	Rep3
3194	39.666	DR5	CL28	09d	Rep3
3195	61.93	DR5	CL28	09d	Rep3
3196	54.088	DR5	CL28	09d	Rep3
3197	106.089	DR5	CL28	09d	Rep3
3198	51.336	DR5	CL28	09d	Rep3
3199	50.796	DR5	CL28	09d	Rep3
3200	55.587	DR5	CL28	09d	Rep3
3201	50.506	DR5	CL28	09d	Rep3
3202	48.438	DR5	CL28	09d	Rep3
3203	51.833	DR5	CL28	09d	Rep3
3204	44.959	DR5	CL28	09d	Rep3
3205	53.652	DR5	CL28	09d	Rep3
3206	46.351	DR5	CL28	09d	Rep3
3207	97.566	DR5	CL28	09d	Rep3
3208	48.002	DR5	CL28	09d	Rep3
3209	49.266	DR5	CL28	09d	Rep3
3210	45.66	DR5	CL28	09d	Rep3
3211	64.778	DR5	CL28	09d	Rep3
3212	46.85	DR5	CL28	09d	Rep3
3213	54.676	DR5	CL28	09d	Rep3
3214	50.646	DR5	CL28	09d	Rep3
3215	37.809	DR5	CL28	09d	Rep3
3216	50.838	DR5	CL28	09d	Rep3
3217	52.596	DR5	CL28	09d	Rep3
3218	79.149	DR5	CL28	09d	Rep3
3219	56.117	DR5	CL28	09d	Rep3
3220	35.599	DR5	CL28	09d	Rep3
3221	67.166	DR5	CL28	09d	Rep3
3222	50.006	DR5	CL28	09d	Rep3
3223	60.416	DR5	CL28	09d	Rep3
3224	53.091	DR5	CL28	09d	Rep3
3225	67.999	DR5	CL28	09d	Rep3
3226	79.404	DR5	CL28	09d	Rep3
3227	53.773	DR5	CL28	09d	Rep3
3228	105.01	DR5	CL28	09d	Rep3
3229	50.791	DR5	CL28	09d	Rep3
3230	51.211	DR5	CL28	09d	Rep3
3231	48.182	DR5	CL28	09d	Rep3
3232	34.543	DR5	CL28	09d	Rep3
3233	60.048	DR5	CL28	09d	Rep3
3234	51.904	DR5	CL28	09d	Rep3
3235	62.323	DR5	CL28	09d	Rep3
3236	54.379	DR5	CL28	09d	Rep3
3237	88.487	DR5	CL28	09d	Rep3
3238	48.273	DR5	CL28	09d	Rep3
3239	69.078	DR5	CL28	09d	Rep3
3240	53.186	DR5	CL28	09d	Rep3
3241	54.087	DR5	CL28	09d	Rep3
3242	16.109	DR5	CL28+CL14	09d	Rep3
3243	15.967	DR5	CL28+CL14	09d	Rep3
3244	19.661	DR5	CL28+CL14	09d	Rep3
3245	13.596	DR5	CL28+CL14	09d	Rep3
3246	15.718	DR5	CL28+CL14	09d	Rep3
3247	16.61	DR5	CL28+CL14	09d	Rep3
3248	20.56	DR5	CL28+CL14	09d	Rep3
3249	12.824	DR5	CL28+CL14	09d	Rep3
3250	12.814	DR5	CL28+CL14	09d	Rep3
3251	17.011	DR5	CL28+CL14	09d	Rep3
3252	18.779	DR5	CL28+CL14	09d	Rep3
3253	19.257	DR5	CL28+CL14	09d	Rep3
3254	17.77	DR5	CL28+CL14	09d	Rep3
3255	19.64	DR5	CL28+CL14	09d	Rep3
3256	16.893	DR5	CL28+CL14	09d	Rep3
3257	22.43	DR5	CL28+CL14	09d	Rep3
3258	16.537	DR5	CL28+CL14	09d	Rep3
3259	20.19	DR5	CL28+CL14	09d	Rep3
3260	15.793	DR5	CL28+CL14	09d	Rep3
3261	17.221	DR5	CL28+CL14	09d	Rep3
3262	17.41	DR5	CL28+CL14	09d	Rep3
3263	15.567	DR5	CL28+CL14	09d	Rep3
3264	22.088	DR5	CL28+CL14	09d	Rep3
3265	16.622	DR5	CL28+CL14	09d	Rep3
3266	25.617	DR5	CL28+CL14	09d	Rep3
3267	16.463	DR5	CL28+CL14	09d	Rep3
3268	20.437	DR5	CL28+CL14	09d	Rep3
3269	19.49	DR5	CL28+CL14	09d	Rep3
3270	16.834	DR5	CL28+CL14	09d	Rep3
3271	18.326	DR5	CL28+CL14	09d	Rep3
3272	16.811	DR5	CL28+CL14	09d	Rep3
3273	16.014	DR5	CL28+CL14	09d	Rep3
3274	20.584	DR5	CL28+CL14	09d	Rep3
3275	14.312	DR5	CL28+CL14	09d	Rep3
3276	17.053	DR5	CL28+CL14	09d	Rep3
3277	19.428	DR5	CL28+CL14	09d	Rep3
3278	18.079	DR5	CL28+CL14	09d	Rep3
3279	21.638	DR5	CL28+CL14	09d	Rep3
3280	16.129	DR5	CL28+CL14	09d	Rep3
3281	14.438	DR5	CL28+CL14	09d	Rep3
3282	17.314	DR5	CL28+CL14	09d	Rep3
3283	24.71	DR5	CL28+CL14	09d	Rep3
3284	21.744	DR5	CL28+CL14	09d	Rep3
3285	15.927	DR5	CL28+CL14	09d	Rep3
3286	21.509	DR5	CL28+CL14	09d	Rep3
3287	16.251	DR5	CL28+CL14	09d	Rep3
3288	19.638	DR5	CL28+CL14	09d	Rep3
3289	16.396	DR5	CL28+CL14	09d	Rep3
3290	20.596	DR5	CL28+CL14	09d	Rep3
3291	17.601	DR5	CL28+CL14	09d	Rep3
3292	18.891	DR5	CL28+CL14	09d	Rep3
3293	19.967	DR5	CL28+CL14	09d	Rep3
3294	15.802	DR5	CL28+CL14	09d	Rep3
3295	13.827	DR5	CL28+CL14	09d	Rep3
3296	15.698	DR5	CL28+CL14	09d	Rep3
3297	16.793	DR5	CL28+CL14	09d	Rep3
3298	13.252	DR5	CL28+CL14	09d	Rep3
3299	17.967	DR5	CL28+CL14	09d	Rep3
3300	18.67	DR5	CL28+CL14	09d	Rep3
3301	14.568	DR5	CL28+CL14	09d	Rep3
3302	16.789	DR5	CL28+CL14	09d	Rep3
3303	18.97	DR5	CL28+CL14	09d	Rep3
3304	17.713	DR5	CL28+CL14	09d	Rep3
3305	16.45	DR5	CL28+CL14	09d	Rep3
3306	16.046	DR5	CL28+CL14	09d	Rep3
3307	19.232	DR5	CL28+CL14	09d	Rep3
3308	18.134	DR5	CL28+CL14	09d	Rep3
3309	15.75	DR5	CL28+CL14	09d	Rep3
3310	16.508	DR5	CL28+CL14	09d	Rep3
3311	16.546	DR5	CL28+CL14	09d	Rep3
3312	17.984	DR5	CL28+CL14	09d	Rep3
3313	13.08	DR5	CL28+CL14	09d	Rep3
3314	12.951	DR5	CL28+CL14	09d	Rep3
3315	15.144	DR5	CL28+CL14	09d	Rep3
3316	16.153	DR5	CL28+CL14	09d	Rep3
3317	13.45	DR5	CL28+CL14	09d	Rep3
3318	12.847	DR5	CL28+CL14	09d	Rep3
3319	17.944	DR5	CL28+CL14	09d	Rep3
3320	16.769	DR5	CL28+CL14	09d	Rep3
3321	15.131	DR5	CL28+CL14	09d	Rep3
3372	15.157	DR5	NB	09d	Rep3
3373	15.857	DR5	NB	09d	Rep3
3374	16.44	DR5	NB	09d	Rep3
3375	19.748	DR5	NB	09d	Rep3
3376	12.487	DR5	NB	09d	Rep3
3377	16.536	DR5	NB	09d	Rep3
3378	13.079	DR5	NB	09d	Rep3
3379	16.878	DR5	NB	09d	Rep3
3380	14.702	DR5	NB	09d	Rep3
3381	15.818	DR5	NB	09d	Rep3
3382	16.41	DR5	NB	09d	Rep3
3383	18.258	DR5	NB	09d	Rep3
3384	15.876	DR5	NB	09d	Rep3
3385	13.991	DR5	NB	09d	Rep3
3386	14.697	DR5	NB	09d	Rep3
3387	16.076	DR5	NB	09d	Rep3
3388	17.17	DR5	NB	09d	Rep3
3389	15.391	DR5	NB	09d	Rep3
3390	16.129	DR5	NB	09d	Rep3
3391	14.967	DR5	NB	09d	Rep3
3392	16.519	DR5	NB	09d	Rep3
3393	13.067	DR5	NB	09d	Rep3
3394	12.917	DR5	NB	09d	Rep3
3395	16.478	DR5	NB	09d	Rep3
3396	18.153	DR5	NB	09d	Rep3
3397	15.407	DR5	NB	09d	Rep3
3398	16.316	DR5	NB	09d	Rep3
3399	16.27	DR5	NB	09d	Rep3
3400	15.517	DR5	NB	09d	Rep3
3401	14.597	DR5	NB	09d	Rep3
3402	17.019	DR5	NB	09d	Rep3
3403	15.623	DR5	NB	09d	Rep3
3404	17.639	DR5	NB	09d	Rep3
3405	13.076	DR5	NB	09d	Rep3
3406	15.41	DR5	NB	09d	Rep3
3407	16.228	DR5	NB	09d	Rep3
3408	17.546	DR5	NB	09d	Rep3
3409	12.806	DR5	NB	09d	Rep3
3410	16.751	DR5	NB	09d	Rep3
3411	15.618	DR5	NB	09d	Rep3
3412	15.472	DR5	NB	09d	Rep3
3413	12.847	DR5	NB	09d	Rep3
3414	13.04	DR5	NB	09d	Rep3
3415	13.418	DR5	NB	09d	Rep3
3416	13.727	DR5	NB	09d	Rep3
3417	14.361	DR5	NB	09d	Rep3
3418	14.109	DR5	NB	09d	Rep3
3419	14.731	DR5	NB	09d	Rep3
3420	13.363	DR5	NB	09d	Rep3
3421	13.74	DR5	NB	09d	Rep3
3422	15.693	DR5	NB	09d	Rep3
3423	12.791	DR5	NB	09d	Rep3
3424	15.431	DR5	NB	09d	Rep3
3425	20.308	DR5	NB	09d	Rep3
3426	15.614	DR5	NB	09d	Rep3
3427	18.68	DR5	NB	09d	Rep3
3428	13.846	DR5	NB	09d	Rep3
3429	14.952	DR5	NB	09d	Rep3
3430	16.524	DR5	NB	09d	Rep3
3431	12.944	DR5	NB	09d	Rep3
3482	17.492	DR5	CL28+CL14	13d	Rep3
