InhibitedStrain	InhibitorStrain	MainRoot	Rep
CL28	NB	2.370619835	Rep2
CL28	NB	1.090909091	Rep2
CL28	NB	1.984644628	Rep2
CL28	NB	0.570669421	Rep2
CL28	NB	1.207628099	Rep2
CL28	NB	1.122264463	Rep2
CL28	NB	1.383107438	Rep2
CL28	NB	1.849247934	Rep2
CL28	NB	1.655867769	Rep2
CL28	NB	1.984024793	Rep2
CL28	NB	1.642446281	Rep2
CL28	NB	1.990347107	Rep2
CL28	NB	1.554512397	Rep2
CL28	NB	1.744404959	Rep2
CL28	NB	1.530157025	Rep2
CL28	NB	1.324892562	Rep2
CL28	NB	1.526396694	Rep2
CL52	NB	1.865446281	Rep2
CL52	NB	2.279107438	Rep2
CL52	NB	2.26638843	Rep2
CL52	NB	2.807239669	Rep2
CL52	NB	2.637553719	Rep2
CL52	NB	2.546363636	Rep2
CL52	NB	2.13453719	Rep2
CL52	NB	2.33268595	Rep2
CL52	NB	2.404958678	Rep2
CL52	NB	2.218975207	Rep2
CL72	NB	0.760512397	Rep2
CL72	NB	0.945768595	Rep2
CL72	NB	1.03553719	Rep2
CL72	NB	0.843619835	Rep2
CL72	NB	1.139661157	Rep2
CL72	NB	1.182710744	Rep2
CL72	NB	0.742512397	Rep2
CL72	NB	0.617570248	Rep2
CL72	NB	0.758355372	Rep2
CL72	NB	1.008396694	Rep2
CL91	NB	0.862041322	Rep2
CL91	NB	0.907735537	Rep2
CL91	NB	0.993115702	Rep2
CL91	NB	1.094413223	Rep2
CL91	NB	1.03553719	Rep2
CL91	NB	1.074380165	Rep2
CL91	NB	1.587123967	Rep2
CL91	NB	0.83007438	Rep2
CL91	NB	1.074504132	Rep2
CL91	NB	0.674247934	Rep2
CL130	NB	1.173553719	Rep2
CL130	NB	1.76085124	Rep2
CL130	NB	1.945644628	Rep2
CL130	NB	2.099239669	Rep2
CL130	NB	2.001090909	Rep2
CL130	NB	2.462421488	Rep2
CL130	NB	1.343016529	Rep2
CL130	NB	2.148760331	Rep2
CL130	NB	1.81253719	Rep2
CL130	NB	2.115768595	Rep2
MF6	NB	1.197404959	Rep2
MF6	NB	1.372793388	Rep2
MF6	NB	0.700479339	Rep2
MF6	NB	0.630049587	Rep2
MF6	NB	1.180983471	Rep2
MF6	NB	0.61246281	Rep2
MF6	NB	1.131355372	Rep2
MF6	NB	0.731950413	Rep2
MF6	NB	0.28292562	Rep2
MF6	NB	0.630049587	Rep2
MF7	NB	0.498338843	Rep2
MF7	NB	0.498338843	Rep2
MF7	NB	0.768991736	Rep2
MF7	NB	1.300884298	Rep2
MF7	NB	0.421487603	Rep2
MF7	NB	0.463181818	Rep2
MF7	NB	0.969801653	Rep2
MF7	NB	0.644628099	Rep2
MF7	NB	0.685752066	Rep2
MF7	NB	0.758528926	Rep2
MF10	NB	2.008876033	Rep2
MF10	NB	2.038495868	Rep2
MF10	NB	1.462809917	Rep2
MF10	NB	1.32546281	Rep2
MF10	NB	1.661900826	Rep2
MF10	NB	1.153628099	Rep2
MF10	NB	1.744190083	Rep2
MF10	NB	1.542181818	Rep2
MF10	NB	1.612330579	Rep2
MF10	NB	1.125578512	Rep2
MF26	NB	1.556884298	Rep2
MF26	NB	1.599471074	Rep2
MF26	NB	1.769826446	Rep2
MF26	NB	0.97014876	Rep2
MF26	NB	1.570859504	Rep2
MF26	NB	1.374983471	Rep2
MF26	NB	1.249768595	Rep2
MF26	NB	1.326024793	Rep2
MF26	NB	1.146710744	Rep2
MF26	NB	1.339247934	Rep2
MF31	NB	2.17592562	Rep2
MF31	NB	1.405834711	Rep2
MF31	NB	1.615528926	Rep2
MF31	NB	1.244834711	Rep2
MF31	NB	1.703198347	Rep2
MF31	NB	1.650413223	Rep2
MF31	NB	1.426190083	Rep2
MF31	NB	1.636446281	Rep2
MF31	NB	1.155727273	Rep2
MF31	NB	1.09253719	Rep2
MF48	NB	1.500768595	Rep2
MF48	NB	1.418892562	Rep2
MF48	NB	0.929305785	Rep2
MF48	NB	1.272834711	Rep2
MF48	NB	1.441429752	Rep2
MF48	NB	1.580735537	Rep2
MF48	NB	1.462132231	Rep2
MF48	NB	1.539413223	Rep2
MF107	NB	0.947355372	Rep2
MF107	NB	1.638049587	Rep2
MF107	NB	0.852041322	Rep2
MF107	NB	0.880429752	Rep2
MF107	NB	1.300884298	Rep2
MF107	NB	1.341826446	Rep2
MF107	NB	1.077586777	Rep2
MF107	NB	1.120099174	Rep2
MF107	NB	0.620330579	Rep2
MF107	NB	0.873413223	Rep2
MF131	NB	2.310578512	Rep2
MF131	NB	1.71092562	Rep2
MF131	NB	1.764694215	Rep2
MF131	NB	2.780842975	Rep2
MF131	NB	1.865446281	Rep2
MF131	NB	2.108752066	Rep2
MF131	NB	1.715231405	Rep2
MF131	NB	2.429371901	Rep2
MF131	NB	1.636553719	Rep2
MF224	NB	2.256330579	Rep2
MF224	NB	2.16214876	Rep2
MF224	NB	2.119214876	Rep2
MF224	NB	2.057256198	Rep2
MF224	NB	1.838892562	Rep2
MF224	NB	1.90053719	Rep2
MF224	NB	2.12992562	Rep2
MF224	NB	1.787876033	Rep2
MF224	NB	2.107438017	Rep2
MF231	NB	2.348578512	Rep2
MF231	NB	1.566892562	Rep2
MF231	NB	0.917694215	Rep2
MF231	NB	1.473066116	Rep2
MF231	NB	1.500768595	Rep2
MF231	NB	2.030181818	Rep2
MF231	NB	0.918694215	Rep2
MF231	NB	1.536793388	Rep2
MF231	NB	1.273181818	Rep2
MF231	NB	1.294256198	Rep2
MF254	NB	0.872280992	Rep2
MF254	NB	0.403520661	Rep2
MF254	NB	1.316206612	Rep2
MF254	NB	1.323239669	Rep2
MF254	NB	0.710933884	Rep2
MF254	NB	0.740115702	Rep2
MF254	NB	1.582727273	Rep2
MF254	NB	0.986206612	Rep2
MF254	NB	0.97014876	Rep2
MF3	NB	2.678719008	Rep2
MF3	NB	2.543586777	Rep2
MF3	NB	2.598578512	Rep2
MF3	NB	2.333876033	Rep2
MF3	NB	1.809917355	Rep2
MF3	NB	1.842900826	Rep2
MF3	NB	2.555644628	Rep2
MF3	NB	3.052107438	Rep2
MF3	NB	2.938826446	Rep2
MF491	NB	1.593735537	Rep2
MF491	NB	2.136520661	Rep2
MF491	NB	1.901975207	Rep2
MF491	NB	1.322727273	Rep2
MF491	NB	1.379942149	Rep2
MF491	NB	1.847247934	Rep2
MF491	NB	1.482264463	Rep2
MF491	NB	3.388793388	Rep2
MF491	NB	2.01761157	Rep2
CL28	CL11	2.133528926	Rep2
CL28	CL11	1.911661157	Rep2
CL28	CL11	1.785809917	Rep2
CL28	CL11	2.207165289	Rep2
CL28	CL11	1.819231405	Rep2
CL28	CL11	2.107438017	Rep2
CL28	CL11	1.812636364	Rep2
CL28	CL11	1.842900826	Rep2
CL28	CL11	2.185338843	Rep2
CL28	CL11	2.085008264	Rep2
CL52	CL11	6.468917355	Rep2
CL52	CL11	5.193165289	Rep2
CL52	CL11	6.07761157	Rep2
CL52	CL11	6.861438017	Rep2
CL52	CL11	7.217297521	Rep2
CL52	CL11	7.001421488	Rep2
CL52	CL11	6.561487603	Rep2
CL52	CL11	5.082371901	Rep2
CL52	CL11	6.672958678	Rep2
CL72	CL11	4.89992562	Rep2
CL72	CL11	4.899702479	Rep2
CL72	CL11	5.495016529	Rep2
CL72	CL11	4.226561983	Rep2
CL72	CL11	3.903768595	Rep2
CL72	CL11	4.807900826	Rep2
CL72	CL11	4.92861157	Rep2
CL72	CL11	3.838735537	Rep2
CL72	CL11	4.949107438	Rep2
CL72	CL11	5.389669421	Rep2
CL91	CL11	4.523157025	Rep2
CL91	CL11	3.676710744	Rep2
CL91	CL11	5.252900826	Rep2
CL91	CL11	5.051826446	Rep2
CL91	CL11	4.902380165	Rep2
CL91	CL11	5.120363636	Rep2
CL91	CL11	5.676958678	Rep2
CL130	CL11	7.363264463	Rep2
CL130	CL11	6.333239669	Rep2
CL130	CL11	6.157801653	Rep2
CL130	CL11	5.727752066	Rep2
CL130	CL11	6.396743802	Rep2
CL130	CL11	6.613652893	Rep2
CL130	CL11	4.512669421	Rep2
CL130	CL11	5.159942149	Rep2
MF6	CL11	0.972016529	Rep2
MF6	CL11	0.595553719	Rep2
MF6	CL11	0.520661157	Rep2
MF6	CL11	0.838958678	Rep2
MF6	CL11	0.487115702	Rep2
MF6	CL11	1.33907438	Rep2
MF6	CL11	1.958834711	Rep2
MF6	CL11	1.366338843	Rep2
MF6	CL11	0.646528926	Rep2
MF6	CL11	0.79377686	Rep2
MF7	CL11	0.848785124	Rep2
MF7	CL11	0.94214876	Rep2
MF7	CL11	1.051892562	Rep2
MF7	CL11	0.974859504	Rep2
MF7	CL11	0.925694215	Rep2
MF7	CL11	1.226710744	Rep2
MF7	CL11	0.743801653	Rep2
MF7	CL11	2.098669421	Rep2
MF7	CL11	0.992975207	Rep2
MF7	CL11	1.538991736	Rep2
MF10	CL11	6.541181818	Rep2
MF10	CL11	6.442561983	Rep2
MF10	CL11	5.62307438	Rep2
MF10	CL11	6.869958678	Rep2
MF10	CL11	6.590842975	Rep2
MF10	CL11	6.31161157	Rep2
MF10	CL11	6.984570248	Rep2
MF10	CL11	6.82831405	Rep2
MF10	CL11	6.949628099	Rep2
MF10	CL11	6.602909091	Rep2
MF26	CL11	2.734479339	Rep2
MF26	CL11	1.785123967	Rep2
MF26	CL11	1.799016529	Rep2
MF26	CL11	2.31907438	Rep2
MF26	CL11	1.79353719	Rep2
MF26	CL11	2.188710744	Rep2
MF26	CL11	1.314983471	Rep2
MF26	CL11	1.739958678	Rep2
MF31	CL11	2.231545455	Rep2
MF31	CL11	1.89746281	Rep2
MF31	CL11	2.086330579	Rep2
MF31	CL11	2.291347107	Rep2
MF31	CL11	2.36838843	Rep2
MF31	CL11	1.863628099	Rep2
MF31	CL11	2.094561983	Rep2
MF31	CL11	2.40814876	Rep2
MF31	CL11	1.903933884	Rep2
MF31	CL11	1.842900826	Rep2
MF31	CL11	1.76085124	Rep2
MF48	CL11	5.011272727	Rep2
MF48	CL11	5.219876033	Rep2
MF48	CL11	6.075644628	Rep2
MF48	CL11	5.983892562	Rep2
MF48	CL11	6.024793388	Rep2
MF48	CL11	6.185090909	Rep2
MF48	CL11	5.29238843	Rep2
MF48	CL11	5.394768595	Rep2
MF48	CL11	4.818090909	Rep2
MF107	CL11	3.248785124	Rep2
MF107	CL11	2.149603306	Rep2
MF107	CL11	3.299760331	Rep2
MF107	CL11	2.689140496	Rep2
MF107	CL11	2.674471074	Rep2
MF107	CL11	2.437454545	Rep2
MF107	CL11	3.026421488	Rep2
MF107	CL11	2.780842975	Rep2
MF107	CL11	3.175099174	Rep2
MF107	CL11	3.441636364	Rep2
MF131	CL11	4.109421488	Rep2
MF131	CL11	3.024793388	Rep2
MF131	CL11	3.570595041	Rep2
MF131	CL11	3.303479339	Rep2
MF131	CL11	2.61685124	Rep2
MF131	CL11	4.109421488	Rep2
MF131	CL11	3.527727273	Rep2
MF131	CL11	4.073669421	Rep2
MF131	CL11	3.623991736	Rep2
MF131	CL11	3.373355372	Rep2
MF224	CL11	6.26385124	Rep2
MF224	CL11	4.973157025	Rep2
MF224	CL11	5.260933884	Rep2
MF224	CL11	5.312793388	Rep2
MF224	CL11	4.513008264	Rep2
MF224	CL11	4.035842975	Rep2
MF224	CL11	4.265619835	Rep2
MF224	CL11	4.934884298	Rep2
MF224	CL11	3.993661157	Rep2
MF224	CL11	4.720520661	Rep2
MF231	CL11	1.933884298	Rep2
MF231	CL11	1.984867769	Rep2
MF231	CL11	2.508545455	Rep2
MF231	CL11	1.612330579	Rep2
MF231	CL11	2.208842975	Rep2
MF231	CL11	2.16214876	Rep2
MF231	CL11	1.713793388	Rep2
MF231	CL11	2.048123967	Rep2
MF231	CL11	2.430892562	Rep2
MF231	CL11	2.25114876	Rep2
MF254	CL11	1.054355372	Rep2
MF254	CL11	1.519404959	Rep2
MF254	CL11	1.144322314	Rep2
MF254	CL11	1.17646281	Rep2
MF254	CL11	1.143487603	Rep2
MF254	CL11	1.964438017	Rep2
MF254	CL11	1.357892562	Rep2
MF254	CL11	0.998595041	Rep2
MF254	CL11	1.566330579	Rep2
MF254	CL11	1.773528926	Rep2
MF3	CL11	5.351561983	Rep2
MF3	CL11	5.077694215	Rep2
MF3	CL11	5.34768595	Rep2
MF3	CL11	5.783743802	Rep2
MF3	CL11	5.925719008	Rep2
MF3	CL11	5.489859504	Rep2
MF3	CL11	4.978735537	Rep2
MF3	CL11	4.947834711	Rep2
MF3	CL11	5.098528926	Rep2
MF3	CL11	4.876495868	Rep2
MF491	CL11	3.560595041	Rep2
MF491	CL11	4.775289256	Rep2
MF491	CL11	3.401305785	Rep2
MF491	CL11	5.40614876	Rep2
MF491	CL11	5.767966942	Rep2
MF491	CL11	6.138553719	Rep2
MF491	CL11	4.077966942	Rep2
MF491	CL11	5.785421488	Rep2
MF491	CL11	4.821983471	Rep2
MF491	CL11	4.727677686	Rep2
CL28	CL14	6.697884298	Rep2
CL28	CL14	6.821661157	Rep2
CL28	CL14	7.490429752	Rep2
CL28	CL14	6.83977686	Rep2
CL28	CL14	6.489454545	Rep2
CL28	CL14	6.779438017	Rep2
CL28	CL14	6.132049587	Rep2
CL28	CL14	6.786471074	Rep2
CL28	CL14	6.237016529	Rep2
CL28	CL14	6.402157025	Rep2
CL28	CL14	6.36846281	Rep2
CL28	CL14	7.108132231	Rep2
CL28	CL14	7.074553719	Rep2
CL28	CL14	7.32238843	Rep2
CL28	CL14	6.99368595	Rep2
CL28	CL14	7.112991736	Rep2
CL28	CL14	6.746719008	Rep2
CL28	CL14	6.958694215	Rep2
CL28	CL14	6.861495868	Rep2
CL28	CL14	6.86338843	Rep2
CL28	CL14	5.713652893	Rep2
CL28	CL14	5.867652893	Rep2
CL28	CL14	6.197710744	Rep2
CL28	CL14	6.776553719	Rep2
CL28	CL14	5.603504132	Rep2
CL28	CL14	7.745504132	Rep2
CL28	CL14	7.122487603	Rep2
CL28	CL14	6.020454545	Rep2
CL28	CL14	5.821024793	Rep2
CL28	CL14	7.327702479	Rep2
CL28	CL14	6.149561983	Rep2
CL28	CL14	6.116793388	Rep2
CL28	CL14	6.496900826	Rep2
CL28	CL14	7.013256198	Rep2
CL28	CL14	6.28153719	Rep2
CL28	CL14	6.74461157	Rep2
CL28	CL14	7.129504132	Rep2
CL28	CL14	7.208504132	Rep2
CL28	CL14	6.881768595	Rep2
CL28	CL14	6.918892562	Rep2
CL28	CL14	6.858628099	Rep2
CL28	CL14	7.25777686	Rep2
CL28	CL14	7.690289256	Rep2
CL28	CL14	6.769842975	Rep2
CL28	CL14	6.926586777	Rep2
CL28	CL14	5.908694215	Rep2
CL28	CL14	7.016520661	Rep2
CL28	CL14	5.971041322	Rep2
CL52	CL14	7.707396694	Rep2
CL52	CL14	7.704008264	Rep2
CL52	CL14	7.115834711	Rep2
CL52	CL14	7.306099174	Rep2
CL52	CL14	7.609991736	Rep2
CL52	CL14	7.468082645	Rep2
CL52	CL14	7.565231405	Rep2
CL52	CL14	7.994471074	Rep2
CL52	CL14	7.534008264	Rep2
CL52	CL14	6.901297521	Rep2
CL72	CL14	8.013479339	Rep2
CL72	CL14	8.31077686	Rep2
CL72	CL14	8.054454545	Rep2
CL72	CL14	7.864661157	Rep2
CL72	CL14	7.994471074	Rep2
CL72	CL14	7.81385124	Rep2
CL72	CL14	7.450446281	Rep2
CL72	CL14	7.598479339	Rep2
CL72	CL14	7.764173554	Rep2
CL72	CL14	6.074123967	Rep2
CL91	CL14	7.201917355	Rep2
CL91	CL14	6.273561983	Rep2
CL91	CL14	6.187677686	Rep2
CL91	CL14	5.684231405	Rep2
CL91	CL14	6.23438843	Rep2
CL91	CL14	5.53892562	Rep2
CL91	CL14	5.888363636	Rep2
CL91	CL14	3.739198347	Rep2
CL130	CL14	4.202380165	Rep2
CL130	CL14	3.889355372	Rep2
CL130	CL14	3.249140496	Rep2
CL130	CL14	4.363760331	Rep2
CL130	CL14	4.019280992	Rep2
CL130	CL14	4.508553719	Rep2
CL130	CL14	4.583760331	Rep2
CL130	CL14	4.401942149	Rep2
CL130	CL14	4.872785124	Rep2
CL130	CL14	4.961429752	Rep2
MF6	CL14	0.963793388	Rep2
MF6	CL14	0.727272727	Rep2
MF6	CL14	0.463107438	Rep2
MF6	CL14	0.497239669	Rep2
MF6	CL14	1.060041322	Rep2
MF6	CL14	1.217876033	Rep2
MF6	CL14	0.697553719	Rep2
MF6	CL14	0.889652893	Rep2
MF6	CL14	0.915082645	Rep2
MF7	CL14	0.572396694	Rep2
MF7	CL14	0.654561983	Rep2
MF7	CL14	1.120099174	Rep2
MF7	CL14	0.676727273	Rep2
MF7	CL14	1.251512397	Rep2
MF7	CL14	0.879380165	Rep2
MF7	CL14	0.922702479	Rep2
MF7	CL14	1.046033058	Rep2
MF7	CL14	0.530603306	Rep2
MF7	CL14	1.105743802	Rep2
MF10	CL14	4.092107438	Rep2
MF10	CL14	4.229140496	Rep2
MF10	CL14	3.644966942	Rep2
MF10	CL14	4.047479339	Rep2
MF10	CL14	3.718181818	Rep2
MF10	CL14	4.547471074	Rep2
MF10	CL14	3.758876033	Rep2
MF10	CL14	4.520628099	Rep2
MF10	CL14	4.392909091	Rep2
MF10	CL14	4.568719008	Rep2
MF26	CL14	4.109644628	Rep2
MF26	CL14	3.695603306	Rep2
MF26	CL14	4.056669421	Rep2
MF26	CL14	3.691214876	Rep2
MF26	CL14	4.040834711	Rep2
MF26	CL14	3.989528926	Rep2
MF26	CL14	3.612512397	Rep2
MF26	CL14	3.64238843	Rep2
MF31	CL14	4.39792562	Rep2
MF31	CL14	4.27553719	Rep2
MF31	CL14	4.407504132	Rep2
MF31	CL14	3.572694215	Rep2
MF31	CL14	4.011157025	Rep2
MF31	CL14	4.594140496	Rep2
MF31	CL14	4.825603306	Rep2
MF31	CL14	5.533008264	Rep2
MF31	CL14	5.04738843	Rep2
MF48	CL14	3.356719008	Rep2
MF48	CL14	3.891181818	Rep2
MF48	CL14	3.852123967	Rep2
MF48	CL14	3.173942149	Rep2
MF48	CL14	3.332826446	Rep2
MF48	CL14	3.664991736	Rep2
MF48	CL14	3.299867769	Rep2
MF48	CL14	3.265619835	Rep2
MF48	CL14	3.662454545	Rep2
MF48	CL14	3.854115702	Rep2
MF107	CL14	3.401305785	Rep2
