Sample_Id	Sample_Label	Plate	Position	Syncom	Condition	Experiment
VDO079	VarioDO_stress_R1_015	2	G10	Full	(pH8.2)	VarioDO_stress_R1
VDO080	VarioDO_stress_R1_016	2	H10	Full	(MS)	VarioDO_stress_R1
VDO081	VarioDO_stress_R1_017	2	A11	Full	(MS)	VarioDO_stress_R1
VDO082	VarioDO_stress_R1_018	2	B11	-s	control	VarioDO_stress_R1
VDO083	VarioDO_stress_R1_019	2	C11	-s	control	VarioDO_stress_R1
VDO084	VarioDO_stress_R1_020	2	D11	-s	control	VarioDO_stress_R1
VDO085	VarioDO_stress_R1_021	2	E11	-s	(-P)	VarioDO_stress_R1
VDO086	VarioDO_stress_R1_022	2	F11	-s	(-P)	VarioDO_stress_R1
VDO087	VarioDO_stress_R1_023	2	G11	-s	(-P)	VarioDO_stress_R1
VDO089	VarioDO_stress_R1_025	2	A12	-s	(+Na)	VarioDO_stress_R1
VDO090	VarioDO_stress_R1_026	2	B12	-s	(+Na)	VarioDO_stress_R1
VDO091	VarioDO_stress_R1_027	2	C12	-s	(31C)	VarioDO_stress_R1
VDO092	VarioDO_stress_R1_028	2	D12	-s	(31C)	VarioDO_stress_R1
VDO093	VarioDO_stress_R1_029	2	E12	-s	(31C)	VarioDO_stress_R1
VDO094	VarioDO_stress_R1_030	2	F12	-s	(pH8.2)	VarioDO_stress_R1
VDO2001	VarioDO_stress_R1_033	3	A01	-s	(MS)	VarioDO_stress_R2
VDO2002	VarioDO_stress_R1_034	3	B01	-s	(MS)	VarioDO_stress_R2
VDO2003	VarioDO_stress_R1_035	3	C01	DOV	control	VarioDO_stress_R2
VDO2004	VarioDO_stress_R1_036	3	D01	DOV	control	VarioDO_stress_R2
VDO2005	VarioDO_stress_R1_037	3	E01	DOV	control	VarioDO_stress_R2
VDO2006	VarioDO_stress_R1_038	3	F01	DOV	(-P)	VarioDO_stress_R2
VDO2007	VarioDO_stress_R1_039	3	G01	DOV	(-P)	VarioDO_stress_R2
VDO2009	VarioDO_stress_R1_041	3	A02	DOV	(+Na)	VarioDO_stress_R2
VDO2010	VarioDO_stress_R1_042	3	B02	DOV	(+Na)	VarioDO_stress_R2
VDO2011	VarioDO_stress_R1_043	3	C02	DOV	(+Na)	VarioDO_stress_R2
VDO2012	VarioDO_stress_R1_044	3	D02	DOV	(31C)	VarioDO_stress_R2
VDO2013	VarioDO_stress_R1_045	3	E02	DOV	(31C)	VarioDO_stress_R2
VDO2014	VarioDO_stress_R1_046	3	F02	DOV	(31C)	VarioDO_stress_R2
VDO2015	VarioDO_stress_R1_047	3	G02	DOV	(pH8.2)	VarioDO_stress_R2
VDO2016	VarioDO_stress_R1_048	3	H02	DOV	(pH8.2)	VarioDO_stress_R2
VDO2017	VarioDO_stress_R1_049	3	A03	DOV	(pH8.2)	VarioDO_stress_R2
VDO2018	VarioDO_stress_R1_050	3	B03	DOV	(MS)	VarioDO_stress_R2
VDO2019	VarioDO_stress_R1_051	3	C03	DOV	(MS)	VarioDO_stress_R2
VDO2020	VarioDO_stress_R1_052	3	D03	-sDOV	control	VarioDO_stress_R2
VDO2021	VarioDO_stress_R1_053	3	E03	-sDOV	control	VarioDO_stress_R2
VDO2022	VarioDO_stress_R1_054	3	F03	-sDOV	control	VarioDO_stress_R2
VDO2023	VarioDO_stress_R1_055	3	G03	-sDOV	(-P)	VarioDO_stress_R2
VDO2024	VarioDO_stress_R1_056	3	H03	-sDOV	(-P)	VarioDO_stress_R2
VDO2025	VarioDO_stress_R1_057	3	A04	-sDOV	(-P)	VarioDO_stress_R2
VDO2026	VarioDO_stress_R1_058	3	B04	-sDOV	(+Na)	VarioDO_stress_R2
VDO2027	VarioDO_stress_R1_059	3	C04	-sDOV	(+Na)	VarioDO_stress_R2
VDO2028	VarioDO_stress_R1_060	3	D04	-sDOV	(+Na)	VarioDO_stress_R2
VDO2029	VarioDO_stress_R1_061	3	E04	-sDOV	(31C)	VarioDO_stress_R2
VDO2031	VarioDO_stress_R1_063	3	G04	-sDOV	(31C)	VarioDO_stress_R2
VDO2032	VarioDO_stress_R1_064	3	H04	-sDOV	(pH8.2)	VarioDO_stress_R2
VDO2033	VarioDO_stress_R1_065	3	A05	-sDOV	(pH8.2)	VarioDO_stress_R2
VDO2034	VarioDO_stress_R1_066	3	B05	-sDOV	(pH8.2)	VarioDO_stress_R2
VDO2035	VarioDO_stress_R1_067	3	C05	-sDOV	(MS)	VarioDO_stress_R2
VDO2037	VarioDO_stress_R1_069	3	E05	C	Contol	VarioDO_stress_R2
VDO2038	VarioDO_stress_R1_070	3	F05	C	Contol	VarioDO_stress_R2
VDO2039	VarioDO_stress_R1_071	3	G05	C_V	Contol	VarioDO_stress_R2
VDO2040	VarioDO_stress_R1_072	3	H05	C_V	Contol	VarioDO_stress_R2
VDO2041	VarioDO_stress_R1_073	3	A06	D	Contol	VarioDO_stress_R2
VDO2042	VarioDO_stress_R1_074	3	B06	D	Contol	VarioDO_stress_R2
VDO2043	VarioDO_stress_R1_075	3	C06	D_V	Contol	VarioDO_stress_R2
VDO2044	VarioDO_stress_R1_076	3	D06	D_V	Contol	VarioDO_stress_R2
VDO2045	VarioDO_stress_R1_077	3	E06	NB	control	VarioDO_stress_R1
VDO2046	VarioDO_stress_R1_078	3	F06	NB	control	VarioDO_stress_R1
VDO2047	VarioDO_stress_R1_079	3	G06	NB	control	VarioDO_stress_R1
VDO2048	VarioDO_stress_R1_080	3	H06	NB	(-P)	VarioDO_stress_R2
VDO2049	VarioDO_stress_R1_081	3	A07	NB	(-P)	VarioDO_stress_R2
VDO2050	VarioDO_stress_R1_082	3	B07	NB	(-P)	VarioDO_stress_R2
VDO2052	VarioDO_stress_R1_084	3	D07	NB	(+Na)	VarioDO_stress_R2
VDO2053	VarioDO_stress_R1_085	3	E07	NB	(+Na)	VarioDO_stress_R2
VDO2054	VarioDO_stress_R1_086	3	F07	NB	(31C)	VarioDO_stress_R2
VDO2055	VarioDO_stress_R1_087	3	G07	NB	(31C)	VarioDO_stress_R2
VDO2056	VarioDO_stress_R1_088	3	H07	NB	(31C)	VarioDO_stress_R2
VDO2057	VarioDO_stress_R1_089	3	A08	NB	(pH8.2)	VarioDO_stress_R2
VDO2058	VarioDO_stress_R1_090	3	B08	NB	(pH8.2)	VarioDO_stress_R2
VDO2059	VarioDO_stress_R1_091	3	C08	NB	(pH8.2)	VarioDO_stress_R2
VDO2060	VarioDO_stress_R1_092	3	D08	NB	(MS)	VarioDO_stress_R2
VDO2061	VarioDO_stress_R1_093	3	E08	NB	(MS)	VarioDO_stress_R2
VDO2062	VarioDO_stress_R2_001	3	F08	Full	control	VarioDO_stress_R2
VDO2063	VarioDO_stress_R2_002	3	G08	Full	control	VarioDO_stress_R2
VDO2064	VarioDO_stress_R2_003	3	H08	Full	control	VarioDO_stress_R2
VDO2065	VarioDO_stress_R2_004	3	A09	Full	(-P)	VarioDO_stress_R2
VDO2066	VarioDO_stress_R2_005	3	B09	Full	(-P)	VarioDO_stress_R2
VDO2067	VarioDO_stress_R2_006	3	C09	Full	(-P)	VarioDO_stress_R2
VDO2068	VarioDO_stress_R2_007	3	D09	Full	(+Na)	VarioDO_stress_R2
VDO2069	VarioDO_stress_R2_008	3	E09	Full	(+Na)	VarioDO_stress_R2
VDO2070	VarioDO_stress_R2_009	3	F09	Full	(+Na)	VarioDO_stress_R2
VDO2071	VarioDO_stress_R2_010	3	G09	Full	(31C)	VarioDO_stress_R2
VDO2072	VarioDO_stress_R2_011	3	H09	Full	(31C)	VarioDO_stress_R2
VDO2073	VarioDO_stress_R2_012	3	A10	Full	(31C)	VarioDO_stress_R2
VDO2074	VarioDO_stress_R2_013	3	B10	Full	(pH8.2)	VarioDO_stress_R2
VDO2075	VarioDO_stress_R2_014	3	C10	Full	(pH8.2)	VarioDO_stress_R2
VDO2076	VarioDO_stress_R2_015	3	D10	Full	(pH8.2)	VarioDO_stress_R2
VDO2077	VarioDO_stress_R2_016	3	E10	Full	(MS)	VarioDO_stress_R2
VDO2078	VarioDO_stress_R2_017	3	F10	Full	(MS)	VarioDO_stress_R2
VDO2079	VarioDO_stress_R2_018	3	G10	Full	(MS)	VarioDO_stress_R2
VDO2080	VarioDO_stress_R2_019	3	H10	-s	control	VarioDO_stress_R2
VDO2081	VarioDO_stress_R2_020	3	A11	-s	control	VarioDO_stress_R2
VDO2082	VarioDO_stress_R2_021	3	B11	-s	control	VarioDO_stress_R2
VDO2083	VarioDO_stress_R2_022	3	C11	-s	(-P)	VarioDO_stress_R2
VDO2084	VarioDO_stress_R2_023	3	D11	-s	(-P)	VarioDO_stress_R2
VDO2085	VarioDO_stress_R2_024	3	E11	-s	(-P)	VarioDO_stress_R2
VDO2086	VarioDO_stress_R2_025	3	F11	-s	(+Na)	VarioDO_stress_R2
