USeq	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Contrast	OverallContrast	Module
USeq1	188.477218110157	-0.548220028121484	0.350697507287397	-1.56322761562208	0.117999066837472	0.447585470153838	Shoot_21C_vs_AgarPlant_21C	ShootvsAgar	A
USeq1	188.477218110157	0.233201076905476	0.388875928189933	0.599679897881406	0.54871958778691	1	Root_150NaCl_vs_Shoot_150NaCl	RootvsShoot	A
USeq1	188.477218110157	-1.23239618356401	0.381767322536173	-3.22813428707544	0.00124600466921985	0.00694741997383189	Root_200NaCl_vs_AgarPlant_200NaCl	RootvsAgar	A
USeq1	188.477218110157	0.11032872187137	0.332827307309263	0.331489392391872	0.740274852146314	1	Shoot_1000Pi_vs_AgarPlant_1000Pi	ShootvsAgar	A
USeq1	188.477218110157	-0.391447416552701	0.326201266687857	-1.20001807634695	0.230132320170552	0.481507623741463	Shoot_50NaCl_vs_AgarPlant_50NaCl	ShootvsAgar	A
USeq1	188.477218110157	-0.210076731480907	0.339569896713206	-0.618655344641265	0.536143433749373	0.867482176118936	Shoot_30Pi_vs_AgarPlant_30Pi	ShootvsAgar	A
USeq1	188.477218110157	-0.578392102958842	0.335871786682288	-1.72206218531228	0.0850582542674796	1	Root_5.5pH_vs_Shoot_5.5pH	RootvsShoot	A
USeq1	188.477218110157	0.054780341398842	0.34184207545986	0.160250435307442	0.872683801083113	1	Shoot_50Pi_vs_AgarPlant_50Pi	ShootvsAgar	A
USeq1	188.477218110157	0.251306474413705	0.342664795018286	0.733388658733658	0.463321414413991	0.854860637862433	Shoot_10Pi_vs_AgarPlant_10Pi	ShootvsAgar	A
USeq1	188.477218110157	-0.373402642566801	0.335791247208557	-1.11200826606086	0.266134596280447	0.661534567897111	Shoot_8.2pH_vs_AgarPlant_8.2pH	ShootvsAgar	A
USeq1	188.477218110157	-0.305978099250871	0.346127438404677	-0.884004171010374	0.376693961244997	1	Root_1000Pi_vs_Shoot_1000Pi	RootvsShoot	A
USeq1	188.477218110157	-0.0850575268860913	0.368504085638338	-0.230818409350201	0.817455878782964	1	Root_7pH_vs_AgarPlant_7pH	RootvsAgar	A
USeq1	188.477218110157	-0.59277464835913	0.34993249079864	-1.69396859093095	0.0902712516545094	0.218734186701311	Shoot_100NaCl_vs_AgarPlant_100NaCl	ShootvsAgar	A
USeq1	188.477218110157	-0.41123444989628	0.33697100940174	-1.22038525102319	0.222318865823371	0.419935635444145	Root_8.2pH_vs_AgarPlant_8.2pH	RootvsAgar	A
USeq1	188.477218110157	-0.248745307536005	0.335953700847349	-0.74041544090336	0.459047952444738	0.887895381702322	Root_50NaCl_vs_AgarPlant_50NaCl	RootvsAgar	A
USeq1	188.477218110157	-0.0110255871083221	0.337108581804317	-0.0327063376711134	0.973908769865873	1	Root_5.5pH_vs_AgarPlant_5.5pH	RootvsAgar	A
USeq1	188.477218110157	0.231253803244037	0.341763526375285	0.676648575395669	0.498628951357418	1	Root_10Pi_vs_AgarPlant_10Pi	RootvsAgar	A
USeq1	188.477218110157	0.753915003067067	0.364357635970011	2.06916207769313	0.0385308799972065	0.211919839984636	Root_10C_vs_Shoot_10C	RootvsShoot	A
USeq1	188.477218110157	0.741231578069161	0.365842838439287	2.02609290161675	0.0427552653793982	0.120936322073155	Root_0Pi_vs_AgarPlant_0Pi	RootvsAgar	A
USeq1	188.477218110157	0.166031047702814	0.350119529105865	0.474212472885542	0.635348399795111	1	Root_100NaCl_vs_Shoot_100NaCl	RootvsShoot	A
USeq1	188.477218110157	-0.229118051355079	0.339620883046014	-0.674628866458831	0.49991158836993	0.971256800261578	Root_30Pi_vs_AgarPlant_30Pi	RootvsAgar	A
USeq1	188.477218110157	-0.019041319874172	0.340646527998103	-0.0558975897569636	0.955423390925069	1	Root_30Pi_vs_Shoot_30Pi	RootvsShoot	A
USeq1	188.477218110157	-0.426743600656317	0.333920229716386	-1.27798067526119	0.201256240170811	0.493402395257471	Root_100NaCl_vs_AgarPlant_100NaCl	RootvsAgar	A
USeq1	188.477218110157	0.0822171151317801	0.352432542623714	0.233284686254305	0.815540349189805	1	Root_7pH_vs_Shoot_7pH	RootvsShoot	A
USeq1	188.477218110157	0.532907826441447	0.403788692205828	1.31976906913927	0.186912131568355	1	Root_200NaCl_vs_Shoot_200NaCl	RootvsShoot	A
USeq1	188.477218110157	0.142702109016695	0.329072161774811	0.433649896870792	0.664542695204902	0.773039461768967	Root_50NaCl_vs_Shoot_50NaCl	RootvsShoot	A
USeq1	188.477218110157	-0.0427699472690574	0.339743651245995	-0.125888878606563	0.899819886221968	0.942110075510211	Root_50Pi_vs_Shoot_50Pi	RootvsShoot	A
USeq1	188.477218110157	-0.0378318073294787	0.337651821654796	-0.112043841919967	0.910788644578689	1	Root_8.2pH_vs_Shoot_8.2pH	RootvsShoot	A
USeq1	188.477218110157	0.0120103941297846	0.342063535476527	0.0351115885914382	0.971990760751284	1	Root_50Pi_vs_AgarPlant_50Pi	RootvsAgar	A
USeq1	188.477218110157	-0.554919036701096	0.350864595139506	-1.58157603927081	0.113746387509212	0.347225814501804	Shoot_150NaCl_vs_AgarPlant_150NaCl	ShootvsAgar	A
USeq1	188.477218110157	-0.215168485122073	0.323860826161167	-0.664385648837305	0.506443515650495	0.785111010022238	Root_31C_vs_AgarPlant_31C	RootvsAgar	A
USeq1	188.477218110157	-0.586799547106235	0.340978826497897	-1.72092664266898	0.0852641362614072	0.208145994787837	Root_100Pi_vs_AgarPlant_100Pi	RootvsAgar	A
