Genotype	Treatment	Strain	Genotype_MCP	Length	Rep
axr	mcp	CL28	axr_mcp	2.813024793	Rep2
axr	mcp	CL28	axr_mcp	1.694033058	Rep2
axr	mcp	CL28	axr_mcp	4.331710744	Rep2
col	mcp	CL28	col_mcp	2.044512397	Rep2
col	mcp	CL28	col_mcp	5.985752066	Rep2
col	mcp	CL28	col_mcp	3.511768595	Rep2
col	mcp	CL28	col_mcp	3.734512397	Rep2
axr	mcp	CL28	axr_mcp	3.613	Rep2
axr	mcp	CL28	axr_mcp	4.099173554	Rep2
axr	mcp	CL28	axr_mcp	6.510966942	Rep2
col	mcp	CL28	col_mcp	4.414553719	Rep2
col	mcp	CL28	col_mcp	6.255628099	Rep2
col	mcp	CL28	col_mcp	3.207123967	Rep2
col	mcp	CL28	col_mcp	3.535950413	Rep2
axr	mcp	CL28	axr_mcp	7.646942149	Rep2
axr	mcp	CL28	axr_mcp	7.210024793	Rep2
axr	mcp	CL28	axr_mcp	2.800570248	Rep2
axr	mcp	CL28	axr_mcp	5.351900826	Rep2
col	mcp	MF48	col_mcp	2.490115702	Rep2
col	mcp	MF48	col_mcp	3.603454545	Rep2
axr	mcp	MF48	axr_mcp	1.47838843	Rep2
axr	mcp	MF48	axr_mcp	2.198033058	Rep2
col	mcp	MF48	col_mcp	1.256198347	Rep2
col	mcp	MF48	col_mcp	1.739231405	Rep2
col	mcp	MF48	col_mcp	3.305785124	Rep2
col	mcp	MF48	col_mcp	3.206785124	Rep2
axr	mcp	MF48	axr_mcp	4.891892562	Rep2
axr	mcp	MF48	axr_mcp	2.157892562	Rep2
axr	mcp	MF48	axr_mcp	2.248909091	Rep2
axr	mcp	MF48	axr_mcp	3.879198347	Rep2
col	mcp	MF48	col_mcp	2.545669421	Rep2
col	mcp	MF48	col_mcp	5.025768595	Rep2
axr	mcp	MF48	axr_mcp	2.272107438	Rep2
axr	mcp	MF48	axr_mcp	2.218818182	Rep2
col	mcp	CL52	col_mcp	3.501008264	Rep2
col	mcp	CL52	col_mcp	4.609760331	Rep2
col	mcp	CL52	col_mcp	3.689619835	Rep2
col	mcp	CL52	col_mcp	3.670016529	Rep2
axr	mcp	CL52	axr_mcp	2.481322314	Rep2
axr	mcp	CL52	axr_mcp	2.141371901	Rep2
axr	mcp	CL52	axr_mcp	2.293413223	Rep2
axr	mcp	CL52	axr_mcp	3.132652893	Rep2
col	mcp	CL52	col_mcp	4.100371901	Rep2
col	mcp	CL52	col_mcp	1.95153719	Rep2
col	mcp	CL52	col_mcp	2.284818182	Rep2
col	mcp	CL52	col_mcp	3.273396694	Rep2
axr	mcp	CL52	axr_mcp	4.756768595	Rep2
axr	mcp	CL52	axr_mcp	5.608132231	Rep2
axr	mcp	CL52	axr_mcp	5.931983471	Rep2
axr	mcp	CL52	axr_mcp	5.561140496	Rep2
col	mcp	CL52	col_mcp	2.718190083	Rep2
col	mcp	CL52	col_mcp	3.941099174	Rep2
col	mcp	CL52	col_mcp	3.34685124	Rep2
col	mcp	CL52	col_mcp	3.932214876	Rep2
axr	mcp	CL52	axr_mcp	5.126628099	Rep2
axr	mcp	CL52	axr_mcp	6.121421488	Rep2
axr	mcp	CL52	axr_mcp	5.085429752	Rep2
axr	mcp	CL52	axr_mcp	3.118669421	Rep2
col	mcp	CL28_CL14	col_mcp	9.877628099	Rep2
col	mcp	CL28_CL14	col_mcp	6.86546281	Rep2
col	mcp	CL28_CL14	col_mcp	9.994066116	Rep2
col	mcp	CL28_CL14	col_mcp	8.197231405	Rep2
axr	mcp	CL28_CL14	axr_mcp	6.519338843	Rep2
axr	mcp	CL28_CL14	axr_mcp	5.972446281	Rep2
axr	mcp	CL28_CL14	axr_mcp	8.247090909	Rep2
axr	mcp	CL28_CL14	axr_mcp	8.719570248	Rep2
col	mcp	CL28_CL14	col_mcp	7.944214876	Rep2
col	mcp	CL28_CL14	col_mcp	10.17557851	Rep2
col	mcp	CL28_CL14	col_mcp	1.749735537	Rep2
axr	mcp	CL28_CL14	axr_mcp	8.172123967	Rep2
axr	mcp	CL28_CL14	axr_mcp	8.873512397	Rep2
axr	mcp	CL28_CL14	axr_mcp	4.326033058	Rep2
col	mcp	CL28_CL14	col_mcp	6.974942149	Rep2
col	mcp	CL28_CL14	col_mcp	8.546132231	Rep2
col	mcp	CL28_CL14	col_mcp	8.169421488	Rep2
col	mcp	CL28_CL14	col_mcp	7.220264463	Rep2
axr	mcp	CL28_CL14	axr_mcp	7.140809917	Rep2
axr	mcp	CL28_CL14	axr_mcp	7.220520661	Rep2
axr	mcp	CL28_CL14	axr_mcp	8.125719008	Rep2
col	mcp	DOV	col_mcp	3.99014876	Rep2
col	mcp	DOV	col_mcp	3.377727273	Rep2
col	mcp	DOV	col_mcp	3.34031405	Rep2
col	mcp	DOV	col_mcp	4.576933884	Rep2
axr	mcp	DOV	axr_mcp	5.114413223	Rep2
axr	mcp	DOV	axr_mcp	3.824595041	Rep2
axr	mcp	DOV	axr_mcp	5.138041322	Rep2
axr	mcp	DOV	axr_mcp	5.158024793	Rep2
col	mcp	DOV	col_mcp	3.537347107	Rep2
col	mcp	DOV	col_mcp	3.24792562	Rep2
axr	mcp	DOV	axr_mcp	6.269570248	Rep2
axr	mcp	DOV	axr_mcp	3.876471074	Rep2
col	mcp	DOV	col_mcp	5.583132231	Rep2
col	mcp	DOV	col_mcp	6.230694215	Rep2
col	mcp	DOV	col_mcp	6.256008264	Rep2
col	mcp	DOV	col_mcp	5.693859504	Rep2
axr	mcp	DOV	axr_mcp	3.936107438	Rep2
axr	mcp	DOV	axr_mcp	5.812280992	Rep2
axr	mcp	DOV	axr_mcp	2.352917355	Rep2
axr	mcp	DOV	axr_mcp	5.842752066	Rep2
col	mcp	Full	col_mcp	4.444652893	Rep2
col	mcp	Full	col_mcp	6.143479339	Rep2
col	mcp	Full	col_mcp	6.060206612	Rep2
col	mcp	Full	col_mcp	5.061760331	Rep2
axr	mcp	Full	axr_mcp	7.280876033	Rep2
axr	mcp	Full	axr_mcp	5.794561983	Rep2
axr	mcp	Full	axr_mcp	6.52038843	Rep2
axr	mcp	Full	axr_mcp	4.604429752	Rep2
col	mcp	Full	col_mcp	3.768338843	Rep2
col	mcp	Full	col_mcp	5.977719008	Rep2
col	mcp	Full	col_mcp	6.054008264	Rep2
col	mcp	Full	col_mcp	5.879206612	Rep2
axr	mcp	Full	axr_mcp	5.300090909	Rep2
axr	mcp	Full	axr_mcp	7.792933884	Rep2
axr	mcp	Full	axr_mcp	5.213983471	Rep2
axr	mcp	Full	axr_mcp	5.720842975	Rep2
col	mcp	Full	col_mcp	3.875495868	Rep2
col	mcp	Full	col_mcp	4.903950413	Rep2
col	mcp	Full	col_mcp	6.951099174	Rep2
col	mcp	Full	col_mcp	4.295115702	Rep2
axr	mcp	Full	axr_mcp	4.707231405	Rep2
axr	mcp	Full	axr_mcp	4.361652893	Rep2
axr	mcp	Full	axr_mcp	6.554371901	Rep2
axr	mcp	Full	axr_mcp	6.388578512	Rep2
col	mcp	ACC	col_mcp	5.390049587	Rep2
col	mcp	ACC	col_mcp	5.759652893	Rep2
col	mcp	ACC	col_mcp	6.300859504	Rep2
col	mcp	ACC	col_mcp	6.36607438	Rep2
axr	mcp	ACC	axr_mcp	6.157404959	Rep2
axr	mcp	ACC	axr_mcp	7.908917355	Rep2
axr	mcp	ACC	axr_mcp	8.851710744	Rep2
axr	mcp	ACC	axr_mcp	7.294446281	Rep2
col	mcp	ACC	col_mcp	9.000958678	Rep2
col	mcp	ACC	col_mcp	7.365595041	Rep2
col	mcp	ACC	col_mcp	7.710785124	Rep2
col	mcp	ACC	col_mcp	9.528785124	Rep2
axr	mcp	ACC	axr_mcp	10.40928099	Rep2
axr	mcp	ACC	axr_mcp	9.925636364	Rep2
axr	mcp	ACC	axr_mcp	6.02714876	Rep2
axr	mcp	ACC	axr_mcp	6.475785124	Rep2
axr	mcp	ACC	axr_mcp	6.060066116	Rep2
col	mcp	ACC	col_mcp	8.137520661	Rep2
col	mcp	ACC	col_mcp	8.614107438	Rep2
col	mcp	ACC	col_mcp	6.486826446	Rep2
col	mcp	ACC	col_mcp	6.46585124	Rep2
axr	mcp	ACC	axr_mcp	11.16280165	Rep2
axr	mcp	ACC	axr_mcp	6.172082645	Rep2
axr	mcp	ACC	axr_mcp	5.118099174	Rep2
axr	mcp	ACC	axr_mcp	4.914710744	Rep2
col	mcp	ACC	col_mcp	5.802471074	Rep2
col	mcp	ACC	col_mcp	6.251082645	Rep2
col	mcp	ACC	col_mcp	5.79653719	Rep2
col	mcp	ACC	col_mcp	2.855396694	Rep2
axr	mcp	ACC	axr_mcp	4.305140496	Rep2
axr	mcp	ACC	axr_mcp	3.688280992	Rep2
axr	mcp	ACC	axr_mcp	4.418181818	Rep2
axr	mcp	ACC	axr_mcp	3.93653719	Rep2
col	mcp	IAA	col_mcp	6.292115702	Rep2
col	mcp	IAA	col_mcp	7.963033058	Rep2
col	mcp	IAA	col_mcp	7.468892562	Rep2
col	mcp	IAA	col_mcp	7.136404959	Rep2
axr	mcp	IAA	axr_mcp	6.73707438	Rep2
axr	mcp	IAA	axr_mcp	7.18222314	Rep2
axr	mcp	IAA	axr_mcp	7.18868595	Rep2
axr	mcp	IAA	axr_mcp	7.036264463	Rep2
col	mcp	IAA	col_mcp	6.076520661	Rep2
col	mcp	IAA	col_mcp	8.31646281	Rep2
col	mcp	IAA	col_mcp	8.949909091	Rep2
col	mcp	IAA	col_mcp	9.358809917	Rep2
col	mcp	IAA	col_mcp	8.493099174	Rep2
axr	mcp	IAA	axr_mcp	8.132347107	Rep2
axr	mcp	IAA	axr_mcp	9.219024793	Rep2
axr	mcp	IAA	axr_mcp	6.701289256	Rep2
axr	mcp	IAA	axr_mcp	6.819380165	Rep2
col	mcp	IAA	col_mcp	11.77899174	Rep2
col	mcp	IAA	col_mcp	9.982661157	Rep2
col	mcp	IAA	col_mcp	9.711363636	Rep2
col	mcp	IAA	col_mcp	9.480892562	Rep2
axr	mcp	IAA	axr_mcp	2.97538843	Rep2
axr	mcp	IAA	axr_mcp	3.664652893	Rep2
axr	mcp	IAA	axr_mcp	10.32777686	Rep2
axr	mcp	IAA	axr_mcp	6.139801653	Rep2
col	mcp	IAA	col_mcp	2.975942149	Rep2
col	mcp	IAA	col_mcp	5.092735537	Rep2
col	mcp	IAA	col_mcp	2.894966942	Rep2
col	mcp	IAA	col_mcp	3.623380165	Rep2
axr	mcp	IAA	axr_mcp	9.486471074	Rep2
axr	mcp	IAA	axr_mcp	5.388528926	Rep2
axr	mcp	IAA	axr_mcp	7.261917355	Rep2
axr	mcp	IAA	axr_mcp	9.937024793	Rep2
col	mcp	IAA	col_mcp	4.331710744	Rep2
col	mcp	IAA	col_mcp	4.464768595	Rep2
col	mcp	IAA	col_mcp	3.528528926	Rep2
col	mcp	IAA	col_mcp	3.847942149	Rep2
axr	mcp	IAA	axr_mcp	6.418280992	Rep2
axr	mcp	IAA	axr_mcp	6.587586777	Rep2
axr	mcp	IAA	axr_mcp	5.254190083	Rep2
