Gene	Mean_zscore_NoBacteriaTripartite	Mean_zscore_VariovoraxCL14	Mean_zscore_ArthrobacterCL28	Mean_zscore_Duoassociation	GLM_ArthrobacterCL28vsNB_log2FoldChange	GLM_ArthrobacterCL28vsNB_pvalue	GLM_ArthrobacterCL28vsNB_padj	GLM_ArthrobacterCL28vsDuoassociation_log2FoldChange	GLM_ArthrobacterCL28vsDuoassociation_pvalue	GLM_ArthrobacterCL28vsDuoassociation_padj	Mean_zscore_NoBacteriaDropout	Mean_zscore_Full	Mean_zscore_VariovoraxDropout	GLM_VariovoraxDropoutvsNB_log2FoldChange	GLM_VariovoraxDropoutvsNB_pvalue	GLM_VariovoraxDropoutvsNB_padj	GLM_VariovoraxDropoutvsFull_log2FoldChange	GLM_VariovoraxDropoutvsFull_pvalue	GLM_VariovoraxDropoutvsFull_padj
AT1G12040	-0.75790125758764	-0.0508360986291211	0.834344573419104	-0.328767720237395	0.626348512946419	0.00353176280364802	0.13691216655844	0.449564386407128	0.0154781909040326	0.36105754804824	-0.721001558946482	-0.898892118915949	1.13964338308796	1.30414348011349	1.88796340202129e-05	0.00248273882271481	1.41514886680591	4.44098087830727e-06	0.0045747037469763
AT1G12560	-0.111282546171659	-0.143275421326186	0.529019540402401	-0.31897459137321	0.216821146414096	0.368897726876905	0.90472700343446	0.269136981046808	0.209753299402311	0.879093735894112	-1.01039636691795	-0.809779079602185	1.06994129257543	1.53330451991165	3.51982609163375e-06	0.00067983974365701	1.31744027415065	5.3024893331345e-05	0.0347378746010005
AT1G19900	-0.111435539963985	0.18011991835005	0.466448895868595	-0.579707490240256	0.509592084382769	0.2275607235382	0.835413335254079	0.661010109954476	0.0794086497571495	0.704696382188308	-0.613031123688081	-0.757722387856477	1.32192671862916	1.47884551842405	0.000268835485903147	0.02024455307465	1.61606728182211	9.17390328986693e-05	0.0515462166062765
AT1G20900	-0.538187415357304	-0.11886794408026	1.19127455123402	-0.749494157939378	0.777427285354589	0.000343324056241375	0.0271972361074689	0.902776549358227	3.27003231764716e-06	0.00082400777327773	0.114574306440716	-0.241470625279505	0.101200466297095	-0.0128813369983976	0.956660603772471	0.996153261551937	0.0531436825783335	0.823807689847039	0.993908343803278
AT1G30870	-0.227042608062053	0.0916331298056893	0.768505782543321	-0.723913347511782	0.338531085154154	0.0803195422492109	0.651730155564228	0.476371948242706	0.00590007602776263	0.20907370104629	-0.765113512569147	-0.593620174273508	1.45341017020579	1.25026209839165	1.81138607024939e-05	0.00241631082838591	1.10341982319854	0.000140259898968529	0.0664062981689766
AT1G33790	-0.426381100718431	-0.828473531073329	1.32359101174162	-0.239288820237231	1.06902976698751	2.47570104414443e-06	0.000455629020447592	0.933333391445774	1.91839208864929e-06	0.000522084012285608	-1.44421981476649	0.199077773272042	0.397782776324423	1.04545644917485	5.07345589424897e-06	0.000887471879161929	0.086838131634552	0.68996875752334	0.99227495013278
AT1G36060	-0.595027135966519	-0.417110291943632	1.22798558072939	-0.453859007205844	0.952382313229365	1.95642242801934e-05	0.00277743751924128	0.862986336359003	8.25890365788264e-06	0.00175596336001086	-1.52160517364767	0.07499440810835	0.784749730778833	1.21530375356646	2.90433266146208e-07	7.58480791673662e-05	0.347290741264576	0.127741596349952	0.902242576178851
AT1G54970	-0.900590051124658	-0.506830767348698	1.48176252629522	-0.434577728271726	4.19239752284603	9.21727655354112e-16	2.39912541150742e-12	2.86251702666799	1.36670338301934e-17	6.97394568770194e-14	-0.91246845041066	-0.58714926964107	1.39700662150643	4.10920201824218	3.16109107085962e-11	2.09331966556711e-08	2.9716036518772	1.15354213153046e-08	5.34724455070943e-05
AT1G76930	-0.544224011139803	-0.675618189541444	1.17980337170028	-0.177650775474953	0.570220216672568	0.000114309202423968	0.0114434816932126	0.422958044797239	0.000953661054228817	0.0673535494043751	-0.798827237536342	-0.472738616259052	1.17061856192279	0.765662550562006	0.00410388687089692	0.137602658879151	0.637549542669659	0.0168322859102002	0.636947439483536
AT1G77330	-0.549049261618219	-0.030136089492836	1.0040591302746	-0.644493483810838	0.714575180822842	0.000783698752717761	0.0513632779658907	0.760172487801409	4.64189111010871e-05	0.00707057010809171	0.987924165370343	-0.868102014859886	0.435890862431266	-0.183444800645857	0.463395664368815	0.953638447139464	0.546729683805305	0.0353846873777938	0.778598864641484
