Group #	Tissue	Expression Level	Standard Deviation	Samples	Links
1	Leaf Lamina, intermediate 1	0.09	0.06	SRR3581591,SRR3581840,	To the Experiment
1	Leaf Lamina, intermediate 2	0.14	0.06	SRR3581676,SRR3581843,	To the Experiment
1	Axis of inflorescence	0.0	0.01	SRR3581704,SRR3581870,	To the Experiment
1	Flowers 12-14	7.62	2.21	SRR3581700,SRR3581866,	To the Experiment
1	Senescent silique 2	36.11	4.48	SRR3581737,SRR3581898,	To the Experiment
1	Sepals of the young flower	0.16	0.02	SRR3581692,SRR3581858,	To the Experiment
1	Root without apex	10.76	0.49	SRR3581356,SRR3581836,	To the Experiment
1	Leaf Petiole of the young leaf	5.49	0.19	SRR3581383,SRR3581837,	To the Experiment
1	Leaf Lamina of the young leaf	1.58	0.01	SRR3581388,SRR3581838,	To the Experiment
1	Flowers 6-8	6.36	0.06	SRR3581698,SRR3581864,	To the Experiment
1	Sepals of the mature flower	0.05	0.01	SRR3581689,SRR3581855,	To the Experiment
1	Petals of the mature flower	0.07	0.06	SRR3581688,SRR3581854,	To the Experiment
1	Stamen filaments of the mature flower	0.07	0.01	SRR3581687,SRR3581853,	To the Experiment
1	Opened anthers	36.93	7.52	SRR3581684,SRR3581850,	To the Experiment
1	Anthers of the mature flower (before opening)	1.49	0.38	SRR3581686,SRR3581852,	To the Experiment
1	Carpels of the mature flower (before pollination)	1.6	0.01	SRR3581685,SRR3581851,	To the Experiment
